starttime_shike,endtime_shike,duration,FixationVecX,FixationVecY,FixationVecZ,startTime_shijian,FixationHitName,Average_CarSpeed_In_This_Fixation,Theta,Phi,r
1552377784224400.0,1552377784704874.0,0.48047399999999996,-5.9905108919748935,3.7789583448275854,317.253795477067,0.059229,Building 07 (16),2.2,89.3176770632135,91.08175288191772,317.3328496886565
1552377784724394.0,1552377785354986.0,0.630592,0.03746600794615347,-1.1599488571428571,44.33023771542314,0.5592229999999999,Plane_01,4.282051282051282,91.49886380641661,89.95157608598471,44.345426607022986
1552377785404761.0,1552377785544739.0,0.139978,26.028679418195356,3.914597,319.04600882329134,1.23959,Building 18 (9),5.181818181818182,89.29936111663832,85.33597683771772,320.1299298222509
1552377785615011.0,1552377785945223.0,0.330212,-1.8971888054936363,-1.1100945034801823,145.53536969722515,1.44984,mcp_road_part_02,5.956521739130435,90.4369871963767,90.74686143284953,145.5519682727731
1552377785954983.0,1552377786105287.0,0.150304,-3.7933717486441636,33.207650777777786,311.4465761349979,1.789812,Building 07 (16),6.888888888888888,83.9143422375504,90.69781934160387,313.23490789759575
1552377786115048.0,1552377786424439.0,0.30939099999999997,-1.620840533250017,37.78336134999999,309.56731077338475,1.949877,Building 07 (16),8.3,83.04143789505983,90.29998798317327,311.86876954643003
1552377786534728.0,1552377786755304.0,0.22057600000000002,5.605164877819082,15.941326375,311.53006333746407,2.369557,Building 07 (16),10.5625,87.07114193455801,88.96922422444327,311.9880191977669
1552377786765065.0,1552377787585161.0,0.8200959999999999,6.907200064682917,3.4866547321428567,309.1435658362143,2.599894,Building 07 (16),13.946428571428573,89.35398205161307,88.72005236187394,309.2403765226729
1552377787795001.0,1552377787934569.0,0.139568,2.8550383148225387,-1.159384666666667,52.175776471417926,3.62983,Plane_01,18.545454545454547,91.27104461356643,86.86792066789542,52.26669175468995
1552377787955065.0,1552377789474810.0,1.5197450000000001,2.057605390697438,-1.1591858333333338,45.653462287411955,3.7898940000000003,Plane_01,23.72549019607843,91.45300870611004,87.41942076676195,45.71450612845088
1552377789495306.0,1552377789905227.0,0.409921,1.2655958768976965,-1.1588008333333333,38.446942562101846,5.330135,Plane_01,28.93333333333333,91.72545300379312,88.11461919083742,38.485217222571485
1552377789914987.0,1552377790235115.0,0.320128,0.4514315605867922,-1.1453269166666666,23.231649531024672,5.749816,Plane_01,30.92,92.82188118339441,88.88678294804664,23.264245187245894
1552377790255610.0,1552377790745128.0,0.489518,1.4705481221384586,-1.0656729441329351,86.75358464140787,6.090439,mcp_road_part_02,31.967741935483872,90.70367953809038,89.02888009894619,86.77259140268487
1552377790754887.0,1552377791035000.0,0.280113,3.4058475121797342,-0.21809825000000008,268.40605529367963,6.589716,Building 07 (16),33.0,90.04655297576343,89.27300367572303,268.42775169947816
1552377791055496.0,1552377791315112.0,0.25961599999999996,26.85702660821101,11.293586999999999,255.41515021394082,6.890325,Building 18 (9),35.5,87.48208862891772,83.9973791209936,257.07147633366617
1552377791375624.0,1552377791545448.0,0.169824,0.2157479360348757,0.10817637777777778,2.9949034986137426,7.210453,FAR,36.72727272727273,87.93670907355538,85.87962377781402,3.0046124985796863
1552377791564969.0,1552377791694776.0,0.129807,0.14010123636439076,-1.0590993597490002,36.542863603268245,7.399798,mcp_road_part_02,37.444444444444436,91.66009146176074,89.78033549023678,36.5584764471568
1552377791845081.0,1552377791974890.0,0.12980899999999998,1.3433424911819314,4.937318222222221,251.08479448382568,7.6799100000000005,Building 07 (16),38.9,88.8735000987186,89.69346164121086,251.13692620015297
1552377792035418.0,1552377792235499.0,0.20008099999999998,3.6919274553672987,4.84219125,244.98305302342789,7.870247,Building 07 (16),39.6875,88.86780121411729,89.13661027797632,245.05871421583225
1552377792245257.0,1552377792875591.0,0.6303340000000001,6.7999440110216876,7.4517761724137905,230.053173515292,8.080086,Building 07 (16),40.6,88.14555958851457,88.30693625519184,230.2742513854596
1552377792955624.0,1552377793085432.0,0.12980799999999998,2.5282911184812673,-1.1073787376414548,33.40299272192322,8.790453,mcp_road_part_02,43.0,91.89336703012168,85.67150402626582,33.51683855063343
1552377793155704.0,1552377793265017.0,0.10931300000000001,4.535283274845504,-1.1087355500017502,49.528086626052655,8.990533000000001,mcp_road_part_02,44.0,91.27706771969078,84.76802057175067,49.747657771403745
1552377793275753.0,1552377793474856.0,0.199103,0.287054796635137,0.0024217363699999997,3.002659854643082,9.110582,FAR,44.25,89.95399895624178,84.53910971467,3.016350862178254
1552377793485592.0,1552377793754969.0,0.269377,0.3011884181607167,0.029321789090909094,3.0018815553309226,9.320421000000001,FAR,45.17391304347826,89.44315947583593,84.27050487787584,3.0170958060336175
1552377793805720.0,1552377794004826.0,0.199106,-8.788313061858377,-1.1090290658571107,122.18900553038686,9.640549,mcp_road_part_02,46.0,90.51868196615544,94.1138534729971,122.50966273909606
1552377794025322.0,1552377794184839.0,0.15951700000000002,-12.864946110350974,-0.6895249222222223,82.3690952733139,9.860151,Box001,47.0,90.47387613455922,98.87711121702108,83.37055918719068
1552377794275608.0,1552377794525463.0,0.24985500000000002,2.003040271967367,-1.1593014736842104,53.90273817019838,10.110437,Plane_01,47.0,91.23123708303153,87.87185261322341,53.952398764864675
1552377794535223.0,1552377794695287.0,0.160064,2.034404293530047,-1.1589073076923078,51.974488345412254,10.370052000000001,Plane_01,47.64285714285714,91.2763706818923,87.7584521050879,52.027197750260875
1552377794705048.0,1552377794985160.0,0.28011199999999997,0.3328441501675083,-1.1086495747392215,26.05719857941489,10.539877,mcp_road_part_02,49.125,92.43608236180137,89.26816661166401,26.082896444124675
1552377794995896.0,1552377795705184.0,0.709288,0.8243626192672132,-1.1588241355932205,41.557586328801214,10.830725,Plane_01,50.91666666666666,91.59695227869254,88.86359364673223,41.58191227662629
1552377795765227.0,1552377795865286.0,0.10005900000000001,4.547497749479574,-1.1588808333333334,47.21953876430563,11.600056,Plane_01,52.0,91.39942168264733,84.49907029901956,47.45216098009817
1552377795875046.0,1552377796204973.0,0.329927,17.331092539052186,-1.1591176470588236,119.50843656100744,11.709875,Plane_01,52.68965517241379,90.54994446748191,81.74850028368517,120.7641367773283
1552377796665646.0,1552377797075565.0,0.409919,12.158341379444856,0.8522373742857142,135.7933869835303,12.500475,Building 07 (16),51.0,89.64184989382582,84.88363131889686,136.33926625187647
1552377797185854.0,1552377797655462.0,0.46960799999999997,4.231274125466463,-1.0597942318819165,72.36580298498194,13.020683,mcp_road_part_02,50.0,90.83760399219867,86.65368964935459,72.497146745234
1552377797665222.0,1552377798085953.0,0.420731,5.983018318985895,-1.0588440591277928,85.2928273156532,13.500051000000001,mcp_roads_turn_01 (1),48.88571428571429,90.70950270882346,85.98745752536004,85.50897058463929
1552377798145489.0,1552377798285095.0,0.139606,7.431342316427393,3.387454545454545,116.79837954959744,13.980317999999999,Building 07 (16),48.0,88.34209065865683,86.35944101506685,117.08356486857268
1552377798345607.0,1552377798445667.0,0.10006,9.007710616223315,2.0060956666666665,112.78369381567707,14.180435999999998,Building 07 (16),48.0,88.98421517006649,85.43364295407412,113.1606153265253
1552377798755567.0,1552377798875615.0,0.120048,6.526029147855748,-0.52475698,103.93067687639588,14.590395999999998,Building 07 (16),48.0,90.2887213692112,86.40699292487389,104.13668912689961
1552377798886351.0,1552377799025920.0,0.139569,7.8898046925916505,-0.039461738461538484,100.7172953542335,14.721179999999999,Building 07 (16),47.69230769230769,90.02238032073235,85.52081678677612,101.02585886191687
1552377799035682.0,1552377799375328.0,0.339646,9.481499859726387,0.1427512857142857,95.64413502680223,14.870510999999999,Building 07 (16),46.85714285714285,89.91490178932186,84.33858885087436,96.11305729475441
1552377799386063.0,1552377799675935.0,0.28987199999999996,6.983485334989084,0.03782738461538457,88.77399977991202,15.220892000000001,Building 07 (16),46.0,89.97566095702395,85.50203976102085,89.04826520072614
1552377799715952.0,1552377799825265.0,0.10931300000000001,12.036661077103036,1.050501727272727,72.85674788496402,15.550781,Building 07 (16),46.0,89.18497133983374,80.61890379303384,73.85181430498008
1552377799836000.0,1552377799945668.0,0.109668,11.85746447153944,0.473487125,70.62909330782452,15.670829000000001,Building 07 (16),45.555555555555564,89.62120412707681,80.46985208851846,71.61907898902878
1552377800055488.0,1552377800176042.0,0.120554,12.772923450489115,-0.20292706666666668,65.82290108212065,15.890317000000001,Building 07 (16),45.0,90.17340343718516,79.01824622467508,67.05104816282203
1552377800185803.0,1552377800405403.0,0.2196,13.79443356747997,-0.5484783571428571,65.11025483351571,16.020632,Building 07 (16),45.0,90.47215923448601,78.03804288263656,66.55773817101381
1552377800416139.0,1552377800625980.0,0.20984099999999997,20.343470337315647,-1.1568097058823532,87.49149105209665,16.250968,Plane_01,44.38888888888889,90.73783792859442,76.91021185281674,89.83293383041641
1552377800635740.0,1552377800765547.0,0.129807,20.075767371321536,-1.0308170531818184,78.13169333611835,16.470569,Building 18 (9),44.0,90.73209970949519,75.58970971518409,80.67626988720902
1552377800776284.0,1552377800986124.0,0.20984,18.395168685118747,-1.0123356189411763,66.14560098556382,16.611113,Building 18 (9),44.0,90.84476958192515,74.45868899450356,68.66329138703425
1552377800995884.0,1552377801306254.0,0.31037,11.823226737495778,-1.0232023875,39.44649747329528,16.830713,mcp_road_part_02,43.17857142857143,91.42333002362673,73.31504524542945,41.192982369849254
1552377801316012.0,1552377801445820.0,0.12980799999999998,14.106544466622585,-1.1523106,44.271151239653776,17.150841,Plane_01,43.0,91.42063972406869,72.32605826945405,46.47856762629385
1552377801455580.0,1552377801615644.0,0.160064,15.180098017504903,-1.0323131429230767,44.7287310441026,17.290409,Building 18 (9),42.93333333333333,91.252004671727,71.25374480891784,47.24574506833156
1552377801735693.0,1552377802055703.0,0.32001,21.001209764622388,1.3995322857142856,45.585415141007864,17.570522,Building 18 (9),42.0,88.40275339020108,65.26446668333797,50.209954946947086
1552377802065463.0,1552377802285607.0,0.220144,34.01604264937717,4.087403636363637,70.89112112107499,17.900292,Building 07 (17),41.142857142857146,87.02427788402464,64.36667717493529,78.73594528430918
1552377802625657.0,1552377802726186.0,0.100529,55.82342079306585,9.46163257142857,105.31749790895245,18.460486,Building 07 (18),40.0,85.461502247581,62.07422431618887,119.57237208384976
1552377803215668.0,1552377803335717.0,0.120049,92.67529313721413,8.909623857142858,239.0641501655222,19.050497,Building 15 (34),38.375,88.00982534068004,68.81074612342364,256.5536186642232
1552377803385492.0,1552377803505540.0,0.120048,19.27429349563816,-1.07236327197605,51.14088874796707,19.220321,mcp_roads_T_cross_01,38.0,91.12408539204037,69.34926784090719,54.662956878264715
1552377803545557.0,1552377803646085.0,0.10052799999999999,110.54437331293396,18.0693425,255.39264369083241,19.380385999999998,Building 15 (10),38.0,86.28500872457214,66.59506694956653,278.87624864969064
1552377804025749.0,1552377804136166.0,0.110417,53.09771547008051,2.903651333333334,169.13043568451852,19.860578,Tong (3),37.0,89.06158645051012,72.57056113353025,177.29326793209677
1552377804155687.0,1552377804296230.0,0.140543,64.59585537107542,1.7241578000000002,220.24825020975067,19.990516,Building 01 (1),37.0,89.56961146548063,73.65429518450297,229.53189096876523
1552377804355766.0,1552377804496310.0,0.140544,7.387001992248408,-1.1069632033807142,33.135271162689726,20.190595000000002,mcp_roads_T_cross_01,37.0,91.86757851297422,77.43229680743009,33.96673903971499
1552377804536327.0,1552377804656374.0,0.120047,1.9394224408867808,-1.1071370529526798,24.96459435254089,20.371156,mcp_roads_T_cross_01,36.66666666666666,92.53168770287537,85.5577896589092,25.06427902504184
1552377804685654.0,1552377804815462.0,0.12980799999999998,1.9129125201241148,-1.1072275544661798,23.238198593007628,20.520483,mcp_roads_T_cross_01,36.142857142857146,92.71871994574535,85.29415955121968,23.34307308421662
1552377804835960.0,1552377805066296.0,0.230336,4.175191349498745,-1.1072599319338456,24.02302871277248,20.670789000000003,mcp_roads_T_cross_01,36.0,92.60006437152319,80.14050550369093,24.408280478077234
1552377805085815.0,1552377805306391.0,0.22057600000000002,5.639343526425988,-1.0800539759396364,22.25754601633959,20.920644,mcp_roads_T_cross_01,36.0,92.69314760137787,75.78229553718343,22.98623646161894
1552377805325911.0,1552377805676296.0,0.350385,4.180161116635253,-1.1071667548330315,16.526071625944788,21.16074,mcp_roads_T_cross_01,35.875,93.71611939910825,75.80514144050935,17.082464944202112
1552377805695815.0,1552377805876409.0,0.180594,2.873594869772175,-1.1059544532730667,11.50661301231984,21.530644,mcp_roads_T_cross_01,35.0,95.32746900153859,75.97809046122526,11.911457750568724
1552377806186308.0,1552377806436164.0,0.249856,17.004114505166527,-0.6246082545454544,48.97789193898797,22.021137,Building 18 (4),34.083333333333336,90.69023475838495,70.85405278330711,51.84943533312242
1552377806476181.0,1552377806596229.0,0.120048,6.731007067538389,-1.102041267447495,17.988636944796358,22.31101,mcp_road_part_01,34.0,93.28391346650463,69.4851032593072,19.238295408640067
1552377806615748.0,1552377806735797.0,0.120049,19.89435230518496,-0.5298694666666667,43.148594319427474,22.450577,Building 18 (4),33.833333333333336,90.63892713049478,65.24717697336354,47.51702018263616
1552377806756292.0,1552377806895860.0,0.139568,20.227624848075713,0.06615906666666664,45.30122084452121,22.591120999999998,Building 18 (4),33.0,89.9235945384754,65.93857410014974,49.612113379906276
1552377807025669.0,1552377807315756.0,0.290087,66.57809247944871,9.074281444444443,137.936694433489,22.860498,Building 07 (4),32.57142857142857,86.6094421418287,64.23472701566389,153.43244980502894
1552377807336252.0,1552377807516367.0,0.180115,130.2463446527948,17.107304,276.5088425933322,23.171081,Building 15 (33),32.0,86.79647233601735,64.77775325776815,306.12727774222793
1552377807626633.0,1552377807735949.0,0.10931600000000001,99.97263195682793,4.283658999999999,284.28943045061413,23.461462,Building 15 (31),32.0,89.18561556498794,70.62537194943019,301.38572816365775
1552377808376206.0,1552377808496250.0,0.12004400000000001,1.4739317591846317,-1.1081595220379998,42.45061543171847,24.211035,mcp_road_part_01,31.0,91.49444795900462,88.01142677489399,42.49064888759256
1552377808515771.0,1552377809126167.0,0.610396,0.7319967949546092,-1.1102741197314667,30.743849927572764,24.3506,mcp_road_part_01,31.0,92.0676781776981,88.63607178276192,30.77259879012309
1552377809496071.0,1552377809726407.0,0.230336,0.4061447579906827,-1.1072402701489847,20.596768477582426,25.3309,mcp_road_part_01,31.0,93.07654538929859,88.87033904697958,20.630506690321884
1552377810026039.0,1552377810176650.0,0.150611,-0.7382210808605699,-1.1071638430503998,14.419057415560095,25.860868,mcp_road_part_01,31.0,94.38510593437739,92.93084720486678,14.480331449687318
1552377810186409.0,1552377810406517.0,0.220108,-1.0489817749867485,-1.1085393707522693,15.626323650533035,26.021238,mcp_road_part_01,31.0,94.0487121691723,93.84045493650416,15.70067556291672
1552377810416278.0,1552377810755899.0,0.339621,-1.4749283268582605,-1.1106889817357144,16.083370419467947,26.251107,mcp_road_part_01,31.0,93.9340172687568,95.23966413776324,16.189003911091458
1552377811366329.0,1552377811625945.0,0.25961599999999996,-0.052576370924224465,-1.1119001762125291,20.119200751856738,27.201158000000003,mcp_roads_cross_01,30.055555555555557,93.16325831233371,90.14972748351072,20.149970847873544
1552377811766489.0,1552377811987066.0,0.220577,0.1166886995486905,-1.1116616141426154,16.398031248414807,27.601318,mcp_roads_cross_01,30.0,93.87818551917547,89.59228903443157,16.436083372292472
1552377812006585.0,1552377812285975.0,0.27939,0.21579316084480374,-1.111599813183263,18.85366351924385,27.841414,mcp_roads_cross_01,30.0,93.37399543137647,89.34423898665075,18.887637462896272
1552377812406023.0,1552377812556329.0,0.150306,0.7710055869653508,-1.1111766177247693,22.23146636927504,28.240852,mcp_roads_cross_01,30.0,92.85966900852196,88.01373119663427,22.272567432137617
1552377812576823.0,1552377813095950.0,0.519127,1.169445919843218,-1.109542280259722,26.192647159360963,28.411652,mcp_roads_cross_01,30.0,92.42323539815064,87.44356324551515,26.242207472808033
1552377813126207.0,1552377813406826.0,0.280619,1.1683727082671571,-1.1094299887942856,25.59862977819552,28.961036,mcp_roads_cross_01,30.0,92.47903579640378,87.38671957246038,25.649284126590704
1552377813416586.0,1552377813896778.0,0.480192,0.6632319736822343,-1.1095337955552265,31.537624705373254,29.251415,mcp_road_part_01,30.0,92.01446241968956,88.79525510199409,31.564104833677177
1552377813906538.0,1552377814106619.0,0.20008099999999998,3.0273342845081928,-1.1093442178613546,25.77746407841041,29.741366999999997,mcp_road_part_01,30.0,92.44742838278492,83.30180174034302,25.97831887897291
1552377814116379.0,1552377814576437.0,0.46005799999999997,1.5634863566388386,-1.1093357717173389,51.44521802389618,29.951208,mcp_road_part_01,30.0,91.2347326412239,88.25924335992403,51.480924360077495
