starttime_shike,endtime_shike,duration,FixationVecX,FixationVecY,FixationVecZ,startTime_shijian,FixationHitName,Average_CarSpeed_In_This_Fixation,Theta,Phi,r
1552374397560815.0,1552374397781046.0,0.22023099999999998,0.03820770306781033,-0.1866984533333334,0.6180757107875011,0.009761,Kooper,1.6666666666666667,106.77745777585082,86.46263723426642,0.6467872334208921
1552374397800570.0,1552374397990885.0,0.190315,0.03358384266153941,-0.1775325461538461,0.6243716437680036,0.249516,Kooper,2.5384615384615383,105.85070295793537,86.92112865004822,0.6499889452701033
1552374398061159.0,1552374398330534.0,0.269375,0.14257695076411409,-1.1102036232745938,25.43947116640073,0.510105,mcp_road_part_02,3.2352941176470584,92.49881957377087,89.67888593477794,25.464083990949984
1552374398410566.0,1552374398520854.0,0.11028800000000001,0.11776004531800008,-0.19143505000000005,0.6108882571912211,0.859512,Kooper,3.25,107.10347880070306,79.0890114601536,0.6509218612213968
1552374398600416.0,1552374398741109.0,0.140693,0.11687204719566102,-0.18375631,0.6203796818541232,1.0493620000000001,Kooper,2.9,106.22919935940477,79.33120553752707,0.6574925144349127
1552374398760630.0,1552374399161009.0,0.400379,0.11462743022486972,-0.17592194230769226,0.6286381003796054,1.209576,Kooper,2.9615384615384617,105.39258981901946,79.66607742792102,0.6627773674426031
1552374399180528.0,1552374399330833.0,0.150305,0.11009618097972804,-0.2035300272727273,0.6017585416937471,1.629474,Kooper,3.0,108.40243310123739,79.63198229099292,0.6447162038985396
1552374399441120.0,1552374399590448.0,0.149328,0.10911239381516497,-0.20782419,0.5981288743448626,1.890066,Kooper,4.8,108.87126215228874,79.66161896283612,0.6425375932646152
1552374399601184.0,1552374399710499.0,0.10931500000000001,0.10803120637504376,-0.2003865777777777,0.5991598759233114,2.05013,Kooper,6.0,108.21837154075914,79.77912957286712,0.6409509177938468
1552374400260819.0,1552374400411122.0,0.150303,1.0935004833761306,-1.1585141666666667,38.64727195642303,2.709765,Plane_01,12.5,91.71633253443534,88.37928402055607,38.68009214124539
1552374400430642.0,1552374400600466.0,0.169824,1.703913597468708,-1.1586867000000003,55.39998898624332,2.879588,Plane_01,14.0,91.19759619024511,88.238333742311,55.43829593423914
1552374400611202.0,1552374400800546.0,0.189344,18.794845059833953,-0.15873741428571428,185.68794180990383,3.060148,mcp_bus_stop_night_LOD_0,15.384615384615385,90.04873093918346,84.220355666902,186.63676789954354
1552374400810306.0,1552374401161167.0,0.35086100000000003,1.059264487589646,-1.15917488,43.41961311246996,3.259252,Plane_01,17.52,91.52880945169758,88.60248988820673,43.44799800328739
1552374401170927.0,1552374401561328.0,0.390401,-1.3610223209999628,-1.15925848,37.28687321233322,3.619873,Plane_01,19.96153846153846,91.7795825497208,92.0904469362322,37.32970902557807
1552374401571087.0,1552374401681375.0,0.11028800000000001,7.943689635283339,10.026628500000001,293.15993145085105,4.020033,Building 07 (16),21.625,88.0418568640844,88.44784877869222,293.4388878324862
1552374401771168.0,1552374401891215.0,0.120047,0.18069954336236208,0.23227861111111114,2.9742442596355336,4.220114,FAR,22.777777777777782,85.54263913258451,86.52328124369338,2.988768072990274
1552374401900977.0,1552374402030783.0,0.129806,0.15626917007623545,0.1818666,2.9832087398810865,4.349923,FAR,23.222222222222218,86.51613581581333,87.00142071385736,2.9928297478163994
1552374402051279.0,1552374402471344.0,0.42006499999999997,-13.451329496063614,3.3716657931034475,295.57409184202044,4.500225,Building 07 (16),24.75862068965517,89.3471209604303,92.6056850918778,295.8992229859132
1552374402481104.0,1552374402820796.0,0.339692,-0.10910283533488743,-1.1095621476808597,88.53267642833404,4.93005,mcp_road_part_02,26.58333333333333,90.71803829137316,90.07060815379488,88.53969633532938
1552374402891068.0,1552374403021384.0,0.13031600000000002,20.626791884063785,5.579725625,162.01639123717203,5.340014,mcp_bus_stop_night_LOD_0,28.0,88.04333618862634,82.74453504749052,163.41942635744124
1552374403120935.0,1552374403290759.0,0.169824,18.86294731346569,0.966058,84.00669181563019,5.569881,Floor 01,29.0,89.3571457614821,77.34465003671463,86.10382290709406
1552374403300519.0,1552374403530856.0,0.230337,18.970580514526837,0.3934956363636364,81.57900138218038,5.749465,Floor 01,29.75,89.73081862159943,76.90895998288862,83.75661902433605
1552374403551351.0,1552374403961272.0,0.409921,1.9519273874004883,1.3571566178571428,276.6568405285504,6.000297,Building 07 (16),30.93333333333333,89.7189413889424,89.5957615024147,276.66705497014067
1552374403971032.0,1552374404121336.0,0.150304,-4.791399444567743,-1.061207388867,116.11082988244844,6.4199779999999995,mcp_road_part_02,31.818181818181817,90.52320108956798,92.3630121178797,116.21449344100964
1552374404241384.0,1552374404350696.0,0.10931199999999999,5.560274300090545,-0.2595534444444444,269.071522562396,6.69033,Building 07 (16),32.0,90.05525719686453,88.81617009750357,269.1290922073062
1552374404361432.0,1552374404811016.0,0.44958400000000004,10.15479432284625,0.2324439066666667,264.90311423422094,6.810378,Building 07 (16),32.74193548387097,89.94976172017844,87.80469885381385,265.09778159935206
1552374404820775.0,1552374405290738.0,0.469963,-0.1484051661145213,-1.0595568544574208,73.68655559660189,7.2697210000000005,mcp_road_part_02,35.0,90.82381146448559,90.11539388848912,73.69432244421722
1552374406731518.0,1552374406960917.0,0.229399,0.33900722122208066,-1.1098078314982265,20.74211439650691,9.180464,mcp_road_part_02,32.0,93.06228486102519,89.06364638628698,20.774549548827157
1552374407041454.0,1552374407221080.0,0.179626,1.665636866246256,-1.110324013465,53.768902371528704,9.4904,mcp_road_part_02,31.8,91.18241860774485,88.2256760081912,53.80615232316896
1552374407230841.0,1552374407390905.0,0.160064,0.26813144082538465,0.009600282,2.9982585504591084,9.679787,FAR,31.0,89.81727148295076,84.88968675973156,3.010239354332929
1552374407411401.0,1552374407671017.0,0.25961599999999996,0.2564116868413053,0.006356072266666667,3.0000010909202586,9.860347,FAR,31.0,89.87904916789148,85.11477207865391,3.010945681729613
1552374407691513.0,1552374407800826.0,0.10931300000000001,0.2574138299849868,0.04550943111111111,2.9977484010082613,10.140459,FAR,30.4,89.13343631973066,85.09210456470457,3.009124202145067
1552374407831081.0,1552374407971625.0,0.140544,0.2544280118056393,0.16672374545454546,2.9833279756508078,10.280027,FAR,30.0,86.81288902186994,85.12542282525483,2.9987957967808523
1552374408191226.0,1552374408311273.0,0.120047,0.9687844090306668,-1.110547068661833,16.446834231645465,10.640172,mcp_road_part_02,29.7,93.85628115508251,86.62894433522877,16.512728855828747
1552374408690939.0,1552374408831013.0,0.140074,7.679374942083817,-1.1605018,69.85926478673431,11.139885000000001,Plane_01,29.0,90.94601219482172,83.72687015820806,70.28966097849644
