SystemTime,Timestamp,NowSsceneName,PupilRadiusH,GazePointX,Hitname,HitPointX,HitPointY,HitPointZ,CameraPosX,CameraPosY,CameraPosZ,CarDirX,CarDirY,CarDirZ,CameraDirX,CameraDirY,CameraDirZ,EyeDirX,EyeDirY,EyeDirZ,HeadLocalDirX,HeadLocalDirY,HeadLocalDirZ,EyeLocalDirX,EyeLocalDirY,EyeLocalDirZ,speed,VecX,VecY,VecZ,LocalVecX,LocalVecY,LocalVecZ,Theta,Phi,r,Theta_Head,Phi_Head,r_Head_value_is_1
"=""20190312164436586""","=""1552380276581464""",TestNight_on,5.297656,0.5387246,Kooper,-475.9268,0.9660527,367.1186,-476.6071,1.108067,367.2167,0.9999678,0,0.0002605908,0.9983982,0.03679169,-0.04298487,3.007904,-0.6196139,-0.4251099,0.04324071,0.04480989,0.9980593,0.1373646,-0.01398699,0.9904218,1,0.6802999999999884,-0.14201429999999993,-0.09809999999998807,0.09425360542715994,-0.14201429999999993,0.6524225591746232,102.15774036121205,81.77951832856705,0.6743196565876406,87.43172251401586,87.51922375442079,1.0000000257798027
"=""20190312164436609""","=""1552380276601960""",TestNight_on,5.350001,0.5386975,Kooper,-475.9171,0.9669083,367.1192,-476.5988,1.108295,367.2168,0.9999651,0,0.0003104468,0.9984094,0.03660709,-0.04288151,3.009216,-0.6158737,-0.4241943,0.04318928,0.04496519,0.9980545,0.1370991,-0.01388194,0.99046,1,0.6816999999999781,-0.14138669999999998,-0.09759999999999992,0.09385543841894513,-0.14138669999999998,0.6540981130860977,102.07711970546877,81.83446035202849,0.6757539373177901,87.4228153930304,87.52215877935659,0.9999999835944521
"=""20190312164436632""","=""1552380276621480""",TestNight_on,5.173792,0.5387561,Kooper,-475.9012,0.9646391,367.1184,-476.5867,1.108176,367.217,0.999971,0,0.0003926962,0.9983564,0.03796224,-0.04293797,3.009338,-0.6197710999999999,-0.4237061,0.04332765,0.04555633,0.9980217,0.13698310000000002,-0.01397253,0.9904748,1,0.6854999999999905,-0.14353690000000008,-0.09859999999997626,0.09479713504149828,-0.14353690000000008,0.6572295997413534,102.19738721468515,81.79240745527697,0.679367415504943,87.3889108339875,87.5141486105508,0.9999999890642406
"=""20190312164436654""","=""1552380276651735""",TestNight_on,6.40353,0.5385755999999999,Kooper,-475.8877,0.9644591,367.1182,-476.5706,1.107948,367.2171,0.9999796,0,0.0005178312,0.998315,0.03937973,-0.04262,3.010223,-0.6189359,-0.4244995,0.04313409,0.04574402,0.9980215,0.1373225,-0.01400957,0.9904273,1,0.6829000000000178,-0.14348889999999992,-0.09890000000001464,0.09513957640178536,-0.14348889999999992,0.6545447404182245,102.24006382992235,81.72984472077519,0.6768082598714956,87.37814576813997,87.5252394584963,0.9999999897740692
"=""20190312164436679""","=""1552380276671255""",TestNight_on,5.2244410000000014,0.5385539,Kooper,-475.8714,0.964384,367.1187,-476.5515,1.107879,367.2173,0.9999843,0,0.0006507394,0.9982409,0.04135621,-0.0424886,3.011475,-0.6187085999999999,-0.4218445,0.04313561,0.04695531,0.9979652,0.13655770000000006,-0.01394922,0.9905339,2,0.6800999999999817,-0.14349500000000004,-0.0986000000000331,0.09490463777711214,-0.14349500000000004,0.6516243627582203,102.29326813181862,81.71352398740937,0.6739525320352032,87.30866934810224,87.52501291455876,1.000000011199154
"=""20190312164436700""","=""1552380276691752""",TestNight_on,6.048851,0.5384988,Kooper,-475.8557,0.9662081,367.12,-476.5369,1.1082,367.2174,0.9999796,0,0.0007151375,0.9982226,0.04222512,-0.042059,3.012787,-0.6134378,-0.4207764,0.04277308,0.04858994,0.9979025,0.13627170000000002,-0.01381146,0.9905753,2,0.6811999999999898,-0.14199190000000006,-0.09739999999999327,0.09388947927410657,-0.14199190000000006,0.6533131851628416,102.14105446778608,81.82185733505027,0.6751259526129849,87.21490473641695,87.54563420274702,0.9999999590740691
"=""20190312164436721""","=""1552380276712247""",TestNight_on,5.300601,0.5383934,Kooper,-475.8434,0.9675422,367.1204,-476.5228,1.108345,367.2175,0.9999772,0,0.0007700792,0.9982071,0.04320668,-0.04142292,3.013519,-0.6114215000000001,-0.4198303,0.04219313,0.04991204,0.997862,0.1360112,-0.01374896,0.9906119,2,0.6794000000000437,-0.14080280000000026,-0.09709999999995488,0.09368008055527664,-0.14080280000000026,0.6518864289853076,102.06795589134249,81.82223240954501,0.6734666304100744,87.13906211611868,87.57877434261849,1.000000021500079
"=""20190312164436743""","=""1552380276731770""",TestNight_on,5.460646,0.5383058000000001,Kooper,-475.8275,0.9678099,367.1211,-476.5026,1.108167,367.2176,0.9999819,0,0.0008687861,0.9981629,0.04451526,-0.04110624,3.014465,-0.6094705,-0.4169617000000001,0.04197378,0.05045495,0.9978439,0.1351747,-0.01363896,0.9907279,1,0.6750999999999863,-0.1403570999999999,-0.0964999999999918,0.09314110350332157,-0.1403570999999999,0.6475846989850321,102.1082348813834,81.81536631334941,0.6691347570121888,87.10791628551851,87.5913030985841,0.9999999744771001
"=""20190312164436764""","=""1552380276762024""",TestNight_on,5.244818,0.5123340000000001,Kooper,-475.80800000000005,0.968508,367.1217,-476.4801,1.107949,367.2177,0.9999872,0,0.001000506,0.9981261,0.04587155,-0.04050053,3.015564,-0.6066779,-0.414093,0.04149766,0.05082592,0.997845,0.1343704,-0.01352011,0.9908389,2,0.6720999999999435,-0.13944100000000004,-0.09600000000000364,0.09275948735201382,-0.13944100000000004,0.6448035894745361,102.08183998112743,81.81376564805007,0.6661980065821681,87.08663399969195,87.61859658876553,0.9999999869771609
"=""20190312164436788""","=""1552380276781544""",TestNight_on,5.194751,0.5090369,Kooper,-475.797,0.9465947,367.1719,-476.4526,1.10779,367.2179,0.9999912,0,0.001175138,0.998107,0.04720268,-0.03943227,3.030243,-0.7157803,-0.2033691,0.04060156,0.05124405,0.9978605,0.06628664,-0.00798779,0.9977686,2,0.6556000000000495,-0.16119530000000004,-0.04599999999999227,0.044116434544391146,-0.16119530000000004,0.6183469211605817,104.57563962692551,85.91910358450998,0.6405334491248448,87.06264571786349,87.66999943827498,1.0000000083975429
