SystemTime,Timestamp,NowSsceneName,PupilRadiusH,GazePointX,Hitname,HitPointX,HitPointY,HitPointZ,CameraPosX,CameraPosY,CameraPosZ,CarDirX,CarDirY,CarDirZ,CameraDirX,CameraDirY,CameraDirZ,EyeDirX,EyeDirY,EyeDirZ,HeadLocalDirX,HeadLocalDirY,HeadLocalDirZ,EyeLocalDirX,EyeLocalDirY,EyeLocalDirZ,speed,VecX,VecY,VecZ,LocalVecX,LocalVecY,LocalVecZ,Theta,Phi,r,Theta_Head,Phi_Head,r_Head_value_is_1
"=""20190312161221176""","=""1552378341166239""",TestNight_on,5.660803,0.4727404000000001,Plane_01,-433.7811,-0.05,365.7598,-476.6052,1.109797,367.2203,0.9999651,0,0.0004934368,0.9937552,0.031392500000000004,-0.1070756,3.010376,-0.0815239,-0.1026306,0.1075566,0.03971659,0.9934053,0.03455282,-0.0004809973,0.9994028,1,42.82410000000005,-1.159797,-1.4605000000000246,1.4805468561065769,-1.159797,42.79202352601257,91.55158590277834,88.01843299722842,42.83333311248553,87.72380824370771,83.82062182745726,0.9999999598964383
"=""20190312161221199""","=""1552378341195520""",TestNight_on,5.603578,0.4732718,Plane_01,-419.8546,-0.05,365.3845,-476.5972,1.109911,367.2206,0.9999651,0,0.0006145091,0.9937382,0.03236062,-0.1069465,3.0103150000000003,-0.06152105,-0.09738159,0.1075495,0.04066759,0.9933676,0.03293959,-0.0003490204,0.9994573,1,56.74259999999998,-1.159911,-1.836099999999988,1.8701890478187813,-1.159911,56.71778563816618,91.17093179325776,88.11143667206352,56.76046342569335,87.66927590898516,83.82079389504838,0.9999999682782085
"=""20190312161221220""","=""1552378341215039""",TestNight_on,5.467587,0.4729012,Plane_01,-413.3878,-0.05,365.0895,-476.5927,1.1102379999999998,367.2208,0.9999556,0,0.0006306196,0.9938029,0.03150381,-0.1065992,3.009827,-0.05523121,-0.1014709,0.1072248,0.04085959,0.9933949,0.03431848,-0.0003263296,0.9994109,1,63.20489999999995,-1.160238,-2.13130000000001,2.170429045572232,-1.160238,63.18227691143051,91.05140393873181,88.032556769087,63.230190812389566,87.65826614884273,83.8394737120434,1.000000045588008
"=""20190312161221245""","=""1552378341235536""",TestNight_on,5.468641000000001,0.4725004,Plane_01,-408.9781,-0.05,365.0229,-476.59,1.110556,367.2209,0.9999415,0,0.0005847718,0.9939269,0.03045167,-0.105747,3.009888,-0.05164838,-0.09783936,0.1063353,0.04117261,0.9934775,0.03306837,-0.0002936553,0.9994531,1,67.61189999999999,-1.160556,-2.197999999999979,2.236881092852879,-1.160556,67.59070939805345,90.98315366355759,88.10451632431604,67.63767089562451,87.64031612093231,83.89069531598554,0.9999999614232753
"=""20190312161221312""","=""1552378341305806""",TestNight_on,5.426624,0.4723243,mcp_road_part_02,-383.1737,-3.814575e-06,364.5211,-476.5591,1.109817,367.221,0.9999681,0,0.000918152,0.9940173,0.0327698,-0.1041924,3.01004,-0.03577363,-0.08700562,0.1051028,0.04068236,0.9936289,0.02980868,-0.0001880011,0.9995556,1,93.3854,-1.109820814575,-2.6999000000000137,2.785250501575194,-1.109820814575,93.36970541714004,90.68070028669077,88.29135383696135,93.41783134006323,87.66842907458377,83.96189346358229,1.0000000219491096
"=""20190312161221334""","=""1552378341325328""",TestNight_on,5.434255,0.47238,mcp_road_part_02,-370.3786,-5.079216e-06,364.1516,-476.5493,1.110025,367.2211,0.9999644,0,0.001029743,0.9938853,0.03450376,-0.1048873,3.009918,-0.03146029,-0.08700562,0.10590810000000002,0.04282864,0.9934531,0.02992188,-0.0001670989,0.9995522,1,106.1707,-1.110030079216,-3.0695000000000046,3.1784835918068213,-1.110030079216,106.15588858330713,90.5988290909181,88.28498159716428,106.20926327600463,87.54534872325395,83.91490649434105,0.9999999399747329
"=""20190312161221355""","=""1552378341345823""",TestNight_on,5.696817,0.4726438,mcp_road_part_02,-345.9269,-3.217794e-06,363.342,-476.5432,1.110442,367.2212,0.999951,0,0.001044639,0.9939821,0.03411773,-0.1040953,3.009918,-0.02557826,-0.08938599,0.105135,0.04390241,0.9934884,0.03072713,-0.000139404,0.9995278,1,130.61630000000002,-1.110445217794,-3.8792000000000257,4.015361413825635,-1.110445217794,130.60274492135707,90.48691353848506,88.23900474150899,130.66917462377432,87.48376843655369,83.9592094023729,0.999999995381684
"=""20190312161221379""","=""1552378341375104""",TestNight_on,5.568354,0.494379,mcp_road_part_02,-341.1011,-5.325463e-06,363.1986,-476.5386,1.11075,367.2213,0.9999354,0,0.001017508,0.9940619,0.03171142,-0.1040935,3.0096130000000003,-0.02467489,-0.08938599,0.1051111,0.04295107,0.9935325,0.03070311,-0.0001341737,0.9995285,1,135.4375,-1.1107553254629998,-4.022699999999986,4.160235916574361,-1.1107553254629998,135.42423583902342,90.46971030029785,88.24042559434983,135.49267505241028,87.53832764606204,83.96083857677216,0.9999999831568024
"=""20190312161221445""","=""1552378341435616""",TestNight_on,5.569211,0.4987099,Kooper,-475.8073,1.001358,367.1572,-476.5047,1.109935,367.2215,0.999962,0,0.001405845,0.9940525,0.03218491,-0.1040376,3.003571,-0.4591416,-0.27053829999999995,0.1054302,0.04075382,0.9935912,0.09005526,-0.007043076999999998,0.9959118,1,0.6974000000000159,-0.10857700000000016,-0.06430000000000291,0.0637482500870757,-0.10857700000000016,0.6809427749326034,99.02081219197996,84.65169310317755,0.6924852829129862,87.66433112094666,83.94299597865968,0.9999999368170343
"=""20190312161221468""","=""1552378341465872""",TestNight_on,5.557834,0.4991516,Kooper,-475.7957,0.9971328000000002,367.1558,-476.4909,1.109998,367.2217,0.9999625,0,0.001570697,0.9941344,0.03324425,-0.1029164,3.0043330000000004,-0.478255,-0.27771,0.104471,0.04172384,0.9936523000000002,0.09243431,-0.007543909,0.9956902,1,0.6951999999999998,-0.11286519999999987,-0.06589999999999918,0.06528645805895791,-0.11286519999999987,0.6774002084963064,99.41660923352077,84.49495191111414,0.6898347029888852,87.6087058493324,83.99806463994555,0.9999999809803178
"=""20190312161221493""","=""1552378341485392""",TestNight_on,5.554708,0.4995108,Kooper,-475.7855,0.9941661,367.1567,-476.4814,1.110429,367.2219,0.9999478,0,0.001610031,0.9943458,0.03072424,-0.1016499,3.005554,-0.4936769,-0.2766418,0.1032488,0.04075906,0.9938201,0.09201517,-0.007753324,0.9957274,2,0.6958999999999946,-0.11626290000000004,-0.06520000000000438,0.06453478220951775,-0.11626290000000004,0.6770605512128977,99.70051458599293,84.55523790902164,0.6899947753714898,87.66403079704374,84.06877173851984,1.0000000034187668
"=""20190312161221511""","=""1552378341505887""",TestNight_on,5.526159,0.4999701,Kooper,-475.7733,0.9905887,367.1567,-476.4754,1.110655,367.222,0.9999362,0,0.0016130779999999998,0.9945045,0.02805607,-0.1008671,3.004608,-0.5085875,-0.27557370000000003,0.1024735,0.03917437,0.9939641,0.09162465,-0.007954643,0.9957619,1,0.7020999999999731,-0.12006630000000007,-0.06529999999997926,0.0645606747488827,-0.12006630000000007,0.6822138393075617,99.93804713040244,84.59396672292682,0.6957008837585912,87.75489954205003,84.1138425245337,1.0000000407779777
"=""20190312161221534""","=""1552378341525407""",TestNight_on,5.588136,0.5001469,Kooper,-475.7646,0.9870435,367.1559,-476.4628,1.110387,367.2222,0.9999442,0,0.001722294,0.9944335,0.02780305,-0.1016322,3.003326,-0.5231534999999999,-0.276123,0.10334589999999998,0.0381709,0.9939128,0.09187033,-0.00822255,0.995737,1,0.6982000000000426,-0.12334350000000005,-0.06630000000001246,0.0654772863138936,-0.12334350000000005,0.6771410671044071,100.27652954775795,84.47686044047012,0.6913905689077461,87.81243714176614,84.06378330934342,1.0000000233287298
"=""20190312161221556""","=""1552378341545904""",TestNight_on,5.8245510000000005,0.5006624,Kooper,-475.7515,0.9846874,367.156,-476.4453,1.109961,367.2223,0.9999586,0,0.001969629,0.9943548,0.02998522,-0.1017822,3.003082,-0.5308368,-0.2789917,0.1037386,0.03883417,0.9938462,0.09300463,-0.008484361999999999,0.9956295,1,0.6937999999999533,-0.12527359999999998,-0.06630000000001246,0.06554874154732669,-0.12527359999999998,0.6719587908559944,100.5116709802033,84.42849594604169,0.6866722136391193,87.77440638445543,84.0409920728735,1.000000029571994
"=""20190312161221579""","=""1552378341575185""",TestNight_on,5.649504,0.5008123999999999,Kooper,-475.7327,0.9891177,367.1545,-476.4284,1.109866,367.2225,0.9999632,0,0.002213319,0.9942814,0.03037482,-0.1023823,3.003326,-0.5096953,-0.2842102,0.1045794,0.03863928,0.9937657,0.0950359,-0.008361732,0.9954388,2,0.6956999999999879,-0.12074830000000004,-0.06800000000004047,0.06752479974973102,-0.12074830000000004,0.675394487776994,100.0871088183405,84.29063728279995,0.689418207370301,87.78558120365584,83.99256309038648,1.0000000556798827
"=""20190312161221601""","=""1552378341595680""",TestNight_on,5.6911510000000005,0.5008326,Kooper,-475.7196,0.9882146,367.1544,-476.4156,1.110194,367.2227,0.9999533000000002,0,0.002347828,0.994213,0.02819645,-0.1036624,3.003326,-0.5157172999999999,-0.2877502,0.10599580000000004,0.03752811,0.9936582,0.09628017,-0.008587355999999999,0.9953172,2,0.6959999999999695,-0.12197940000000007,-0.06829999999996518,0.06786923251051001,-0.12197940000000007,0.6752937180832832,100.18877797097731,84.26085806479844,0.689570019960751,87.8492927479763,83.91115303053826,1.0000000435425251
"=""20190312161221622""","=""1552378341615199""",TestNight_on,5.664328,0.5006417999999999,Kooper,-475.7106,0.9865272,367.154,-476.4026,1.110266,367.2229,0.9999503,0,0.002473114,0.994164,0.02641847,-0.1045965,3.002075,-0.5273591,-0.2904968,0.1070539,0.03602709999999998,0.9936003,0.09726371,-0.008888879,0.9952189,2,0.6920000000000073,-0.12373880000000005,-0.06889999999998507,0.06844429500367354,-0.12373880000000005,0.6705961814833863,100.40180631647029,84.17229544634245,0.6853430898200468,87.93535246908408,83.85047909388538,1.0000000227998547
"=""20190312161221645""","=""1552378341635696""",TestNight_on,5.711092,0.5005295,Kooper,-475.6974,0.9849564,367.1543,-476.3828,1.109985,367.2232,0.9999596,0,0.002717256,0.9940941,0.02733174,-0.1050246,3.001129,-0.533609,-0.2910461,0.1077213,0.03586412,0.993534,0.09767032,-0.00907408,0.9951774,1,0.6853999999999587,-0.12502859999999993,-0.06890000000004193,0.06850544266041342,-0.12502859999999993,0.6633572297376009,100.61862887783856,84.10391909095709,0.6785042083415573,87.94469644735672,83.81202825775941,0.9999999613665315
"=""20190312161221669""","=""1552378341665951""",TestNight_on,5.707742,0.4999681,Kooper,-475.6794,0.9853914,367.1542,-476.3594,1.109717,367.2236,0.9999684,0,0.003041571,0.9941436,0.02743826,-0.1045263,3.0015560000000003,-0.5323111,-0.29241940000000005,0.10754289999999997,0.03475425,0.9935928,0.09842184,-0.009173795,0.9951025,2,0.6800000000000068,-0.12432560000000005,-0.06939999999997326,0.06917935201533379,-0.12432560000000005,0.6580166877947228,100.6420311605068,83.9983627166298,0.6732225478821688,88.00832706008178,83.82255977819862,0.9999999927226564
"=""20190312161221694""","=""1552378341685473""",TestNight_on,5.796801,0.4675668,Kooper,-475.6444,0.9826216999999998,367.1552,-476.3402,1.110049,367.224,0.9999595,0,0.003239208,0.9942306,0.02558808,-0.104167,3.00238,-0.5342391,-0.285614,0.1073842,0.03393411,0.9936383,0.09637502,-0.009059548,0.9953039,2,0.6957999999999629,-0.12742730000000024,-0.06880000000001019,0.06876940285244049,-0.12742730000000024,0.6732129048716526,100.66406247261705,84.16740739141797,0.6886091509990991,88.0553453367826,83.83188572060303,0.9999999807290109
"=""20190312161221714""","=""1552378341705967""",TestNight_on,5.871854,0.4579483,Kooper,-475.6107,1.024124,367.2154,-476.3286,1.110445,367.2242,0.9999447,0,0.0033137920000000003,0.9943153,0.02338064,-0.1038788,3.022827,-0.3561593,-0.03555298,0.1071753,0.03331123,0.993682,0.01494804,-0.001266652,0.9998875,2,0.717899999999986,-0.08632100000000009,-0.008800000000007913,0.011019743119087908,-0.08632100000000009,0.7076374847781404,96.95401704058834,89.10782886012848,0.7129681336795801,88.09105405527022,83.84406130169855,1.0000000500491002
"=""20190312161221735""","=""1552378341725488""",TestNight_on,5.8266860000000005,0.4554437,mcp_road_part_02,-460.7805,-4.329469e-06,367.4063,-476.3161,1.110658,367.2244,0.9999319,0,0.003364381,0.9944221,0.02241951,-0.103066,3.025909,-0.21611020000000009,0.03546143,0.1064168,0.03352045,0.9937564,-0.008341356999999999,5.749696e-05,0.9999652,1,15.535599999999988,-1.110662329469,0.18189999999998466,-0.12896895590257604,-1.110662329469,15.4571331157279,94.10974524711716,90.47804501254964,15.49752134888093,88.07905977922675,83.88775123381141,0.9999999692157007
"=""20190312161221757""","=""1552378341745984""",TestNight_on,5.8161010000000015,0.4548343,mcp_road_part_02,-460.2815,-4.522038e-06,367.5274,-476.2976,1.110351,367.2246,0.9999403,0,0.0035182570000000003,0.99444,0.02426515,-0.1024724,3.027527,-0.2097058,0.05722046,0.1059738,0.03454886,0.9937686,-0.01535042,0.0002875562,0.9998822,1,16.016099999999994,-1.110355522038,0.30279999999999063,-0.24526794510008715,-1.110355522038,15.940478954494655,93.98410851523589,90.881511109457,15.98098604745342,88.02010222560101,83.9130785202431,1.0000000501798485
"=""20190312161221780""","=""1552378341775264""",TestNight_on,5.943985,0.4542874,mcp_road_part_02,-459.7432,-6.169211e-07,367.5737,-476.2753,1.10996,367.2249,0.999953,0,0.003790268,0.9944582,0.02586107,-0.1019031,3.02829,-0.2031152,0.06387329,0.105671,0.0347352,0.9937943,-0.01726752,0.0003244578,0.9998509,2,16.532100000000018,-1.1099606169211005,0.3487999999999829,-0.2848504485520543,-1.1099606169211005,16.459142772801847,93.85745696826395,90.99149145098781,16.498985822305304,88.00941922364709,83.93049652162081,1.000000002536265
"=""20190312161221802""","=""1552378341795759""",TestNight_on,5.934461,0.4543261,mcp_road_part_02,-455.9666,-2.05567e-06,367.6825,-476.2515,1.109721,367.2252,0.9999616,0,0.004126427,0.9944521,0.02647029,-0.1018074,3.0280150000000003,-0.16549360000000002,0.0682373,0.1059052,0.03419621,0.9937881,-0.01838264,0.0002765724,0.999831,2,20.2849,-1.10972305567,0.457300000000032,-0.3724752532107744,-1.10972305567,20.226111597387987,93.13990239153911,91.05501484363809,20.25995590875096,88.04031950785854,83.91710767946442,1.000000039933506
"=""20190312161221824""","=""1552378341815280""",TestNight_on,5.960897,0.4541673,mcp_road_part_02,-454.05300000000005,-2.869522e-06,367.7223,-476.2291,1.109872,367.2256,0.9999589,0,0.00438967,0.9944317,0.02596531,-0.1021358,3.027679,-0.1513557,0.06781006,0.1064946,0.03388597,0.9937357,-0.01798521,0.0002299277,0.9998382,2,22.176099999999966,-1.109874869522,0.4967000000000326,-0.3983490950392109,-1.109874869522,22.12268104732512,92.87160465619127,91.03157730492406,22.154085874826638,88.05810518053207,83.88319005961158,1.0000000001232454
