SystemTime,Timestamp,NowSsceneName,PupilRadiusH,GazePointX,Hitname,HitPointX,HitPointY,HitPointZ,CameraPosX,CameraPosY,CameraPosZ,CarDirX,CarDirY,CarDirZ,CameraDirX,CameraDirY,CameraDirZ,EyeDirX,EyeDirY,EyeDirZ,HeadLocalDirX,HeadLocalDirY,HeadLocalDirZ,EyeLocalDirX,EyeLocalDirY,EyeLocalDirZ,speed,VecX,VecY,VecZ,LocalVecX,LocalVecY,LocalVecZ,Theta,Phi,r,Theta_Head,Phi_Head,r_Head_value_is_1
"=""20190304164353366""","=""1551689033361506""",Testhuanghun_off,5.0973690000000005,0.5351663000000001,Kooper,-245.4441,1.009567,367.9837,-246.265,1.11022,367.9912,0.9998614,-0.01455896,-0.00809471,0.955332,0.29105590000000003,0.0512562,3.241211,-0.3276783,-0.02944946,-0.05869661,0.3049835,0.9505471,0.001014347,0.000640095,0.9999993,34,0.8208999999999946,-0.10065299999999988,-0.00749999999999318,0.0008414541353207487,-0.10065299999999988,0.8087757415877845,97.09404250566973,89.94038921949169,0.8150152971784841,72.2428289223207,93.53354736522324,1.000000008308076
"=""20190304164353378""","=""1551689033371266""",Testhuanghun_off,5.104426,0.5351132,Kooper,-245.4358,1.026659,367.9835,-246.0905,1.110217,367.9896,0.9998595,-0.01455804,-0.008319325,0.9551139,0.2917715,0.0512519,3.241394,-0.3266833,-0.02975464,-0.05890276,0.3056955,0.9503056,0.0008847311,0.0006645238,0.9999994,34,0.6546999999999912,-0.08355800000000002,-0.006100000000003547,0.0006420919167889486,-0.08355800000000002,0.6442351299345339,97.39006632321481,89.94289484847928,0.6496316296854667,72.19998833002792,93.54682484797783,1.0000000036236139
"=""20190304164353388""","=""1551689033381026""",Testhuanghun_off,5.138374,0.535075,Kooper,-245.14,1.015159,367.9808,-245.9281,1.110223,367.98800000000006,0.9998577,-0.01455713,-0.008528077,0.9550046999999998,0.2921587,0.05108351,3.241623,-0.3244017,-0.02902222,-0.05893092,0.30608,0.9501801,0.0004521761,0.0007015229,0.9999996,34,0.7881000000000142,-0.09506400000000004,-0.007200000000068484,0.00047119320486986317,-0.09506400000000004,0.7768306315094605,96.9768328686743,89.96524676349216,0.7826258468581417,72.17684929927262,93.54898365935362,1.0000000210840279
"=""20190304164353399""","=""1551689033390787""",Testhuanghun_off,5.125207,0.5350252,Kooper,-245.132,1.030922,367.9807,-245.7654,1.110225,367.9865,0.9998559,-0.01455615,-0.008737179,0.9548116,0.2928297,0.05085043,3.24176,-0.323167,-0.02893066,-0.05889362,0.3067473,0.9499672,0.0002162621,0.0007295621,0.9999997,34,0.6333999999999946,-0.07930300000000012,-0.0057999999999651655,0.0002609725697968303,-0.07930300000000012,0.6236512352318149,97.24679365481786,89.97602405783786,0.6286731242242273,72.13668383496294,93.54753592713679,1.0000000228049168
"=""20190304164353411""","=""1551689033401522""",Testhuanghun_off,5.170427,0.5350005999999999,Kooper,-244.8375,1.018355,367.978,-245.5954,1.110228,367.9847,0.999854,-0.01455508,-0.008955455,0.9547619,0.2929771,0.05093404,3.242004,-0.3210535,-0.02926636,-0.05918422,0.30689340000000004,0.9499019,0.0001017687,0.0007488009,0.9999997,34,0.7579000000000065,-0.0918730000000001,-0.0066999999999666215,-8.704788110297599e-05,-0.0918730000000001,0.7469544165896429,97.01197921599899,90.0066770823887,0.7525832553074159,72.12788783173136,93.56524001279342,0.999999975242089
"=""20190304164353423""","=""1551689033411284""",Testhuanghun_off,5.144661,0.5349749,Kooper,-244.828,1.034349,367.9779,-245.4156,1.110224,367.9829,0.9998518,-0.01455393,-0.00918588,0.9548054,0.2928263,0.05098584,3.242065,-0.3207217,-0.028472900000000006,-0.05945585,0.3067423,0.9499338,-0.000370194,0.0007940131,0.9999996,34,0.587600000000009,-0.07587499999999991,-0.004999999999995453,-0.0003918727966195234,-0.07587499999999991,0.5779846515208724,97.47874306157496,90.03884645353962,0.5829437593653379,72.13698496692408,93.58144046855114,1.0000000305454757
"=""20190304164353441""","=""1551689033431311""",Testhuanghun_off,5.117465,0.5348887,Kooper,-244.5346,1.022949,367.9748,-245.1554,1.110227,367.9802,0.9998488,-0.01455219,-0.009519057,0.9551277,0.2917553,0.051087,3.242096,-0.32133290000000003,-0.02929688,-0.05987831,0.305675,0.9502512,-0.0004475962,0.0008282649000000001,0.9999996,34,0.6207999999999743,-0.08727800000000019,-0.005400000000008731,-0.0005004110123589759,-0.08727800000000019,0.6087911698896286,98.15848958207121,90.04709567745212,0.6150157625872397,72.20122151555798,93.60561967919665,0.9999999803674479
"=""20190304164353454""","=""1551689033450830""",Testhuanghun_off,5.121301,0.5348151,Kooper,-244.2368,1.017898,367.9725,-244.9454,1.110225,367.9779,0.9998463,-0.01455069,-0.009787385,0.9551257,0.2918006,0.050869,3.241943,-0.3258076,-0.02734375,-0.05991639,0.30571859999999995,0.9502348,-0.001310794,0.000914247,0.9999987,34,0.7086000000000183,-0.09232700000000003,-0.0053999999999518895,-0.0015106884055968654,-0.09232700000000003,0.6967903451767734,97.5478924248644,90.1242209149139,0.7028821681050287,72.1985982855744,93.60796874563832,1.000000005653816
"=""20190304164353468""","=""1551689033460590""",Testhuanghun_off,5.113025,0.5347303000000001,Kooper,-243.9412,1.009046,367.9695,-244.7412,1.110228,367.9756,0.9998438,-0.01454907,-0.01004819,0.955153,0.2917585,0.05059665,3.242249,-0.3267956,-0.0267334,-0.05989327,0.305675,0.9502503,-0.001756825,0.000965433,0.999998,34,0.7999999999999828,-0.1011820000000001,-0.006100000000003547,-0.0019091714707070266,-0.1011820000000001,0.7874255384317053,97.32220316353308,90.13891758388992,0.7939020220620209,72.20122226357644,93.60652153688824,1.0000000210331912
"=""20190304164353486""","=""1551689033481086""",Testhuanghun_off,5.153228,0.5346812,Kooper,-243.9317,1.028532,367.969,-244.475,1.110232,367.9726,0.9998404,-0.01454694,-0.01038874,0.9550244,0.29229920000000004,0.04990219,3.242233,-0.32735380000000003,-0.02618408,-0.05952181,0.3062112,0.950101,-0.002262403,0.001025823,0.9999969,34,0.5432999999999879,-0.08169999999999987,-0.003600000000005821,-0.0019997734439706,-0.08169999999999987,0.531294268171799,98.74214228578428,90.21565833492943,0.5375430108242825,72.16895306638828,93.58477402223639,1.0000000275360577
"=""20190304164353511""","=""1551689033500605""",Testhuanghun_off,5.142567,0.534637,Kooper,-243.6335,1.025566,367.9655,-244.113,1.110242,367.9684,0.9998354,-0.01454393,-0.01084581,0.9549326,0.2927289,0.04912708,3.242584,-0.32634709999999995,-0.02713013,-0.05918349,0.30663559999999995,0.9499853,-0.002426413,0.001070849,0.9999965,34,0.4795000000000016,-0.08467599999999997,-0.002899999999954161,-0.002231694187856795,-0.08467599999999997,0.4650027439273032,100.32024045961599,90.2749783266362,0.4726547971774636,72.14340874318675,93.56488396687305,1.0000000734460124
"=""20190304164353529""","=""1551689033520550""",Testhuanghun_off,5.1316180000000005,0.5345809,Kooper,-243.3303,1.031937,367.9608,-243.8253,1.110256,367.9648,0.9998317,-0.01454139,-0.01119851,0.954954,0.2927863,0.04836548,3.242676,-0.3247985,-0.02990723,-0.05876387,0.30668959999999995,0.9499938,-0.0019252,0.001066538,0.9999976,33,0.4950000000000046,-0.0783189999999998,-0.004000000000019099,-0.0015063907193270133,-0.0783189999999998,0.4829251712990579,99.21176975672445,90.17872241024685,0.4892370141845603,72.14015608747304,93.53964129487045,0.9999999616019877
"=""20190304164353542""","=""1551689033531286""",Testhuanghun_off,5.153303,0.534547,Kooper,-243.0324,1.0307879999999998,367.9568,-243.6385,1.110257,367.9625,0.9998291,-0.01453969,-0.01141876,0.9549222,0.2930142,0.04760252,3.242828,-0.32520370000000004,-0.03201294,-0.0582163,0.3069134,0.9499553,-0.001498147,0.001062365,0.9999983,33,0.6060999999999979,-0.07946900000000022,-0.0056999999999902675,-0.0012013626549172561,-0.07946900000000022,0.5958825230089694,97.596328333128,90.1155142395896,0.6011595016805137,72.12668468110842,93.50688287908947,1.0000000223416696
"=""20190304164353553""","=""1551689033541047""",Testhuanghun_off,5.158743,0.534514,Kooper,-242.7395,1.02029,367.953,-243.4619,1.110265,367.9603,0.9998268,-0.01453807,-0.01162338,0.9550654,0.2926784,0.04679347,3.24292,-0.3246583,-0.03396606,-0.05761087,0.3065766,0.950101,-0.00110258,0.00105514,0.9999988,33,0.7224000000000217,-0.08997500000000014,-0.0072999999999865395,-0.0010813372945463334,-0.08997500000000014,0.7114013974317157,97.20824433940945,90.08709009529116,0.7170694653819407,72.14696012978038,93.46997117066537,1.0000000671053562
