SystemTime,Timestamp,NowSsceneName,PupilRadiusH,GazePointX,Hitname,HitPointX,HitPointY,HitPointZ,CameraPosX,CameraPosY,CameraPosZ,CarDirX,CarDirY,CarDirZ,CameraDirX,CameraDirY,CameraDirZ,EyeDirX,EyeDirY,EyeDirZ,HeadLocalDirX,HeadLocalDirY,HeadLocalDirZ,EyeLocalDirX,EyeLocalDirY,EyeLocalDirZ,speed,VecX,VecY,VecZ,LocalVecX,LocalVecY,LocalVecZ,Theta,Phi,r,Theta_Head,Phi_Head,r_Head_value_is_1
"=""20190303162925483""","=""1551601765477405""",TestNight_on,5.058559,0.5369176999999999,mcp_road_part_02,-337.8878,-2.489362e-06,12.90949,-366.1567,1.121233,17.948,0.9994181,-0.01212496,-0.03188552,0.979555,0.1840444,-0.08123934,3.040222,-0.1198305,-0.539093,0.05001412,0.1959198,0.9793437,0.1429798,-0.002807209,0.9897217,32,28.268899999999967,-1.121235489362,-5.0385100000000005,4.128218514911757,-1.121235489362,28.371931604178915,92.23954610998464,81.7213541582818,28.692609851347985,78.70153960908657,87.07650063939607,1.0000000314805517
"=""20190303162925495""","=""1551601765487166""",TestNight_on,5.077228,0.5367965,mcp_road_part_02,-337.5329,-2.616445e-06,12.8858,-365.9803,1.121236,17.942320000000006,0.9994161,-0.01213791,-0.03194582,0.9794242,0.1848125,-0.08107401,3.040375,-0.11909569999999994,-0.5376892,0.04979456,0.1966992,0.9791986,0.14247020000000002,-0.00278439,0.9897951,32,28.447400000000016,-1.121238616445,-5.056520000000003,4.138863700779553,-1.121238616445,28.551428768123017,92.22565829895142,81.7517619268058,28.87163752664266,78.65599658764896,87.08888199655473,0.9999999858640967
"=""20190303162925506""","=""1551601765496925""",TestNight_on,5.085848,0.5367057,mcp_road_part_02,-336.8915,-2.853669e-06,12.81456,-365.8205,1.121237,17.93713,0.9994142,-0.01214939,-0.0320005,0.9792651,0.185799,-0.08074041,3.040741,-0.1172062,-0.5360107,0.04941332,0.1976949,0.9790174,0.14186970000000002,-0.0027446320000000003,0.9898815,32,28.928999999999967,-1.121239853669,-5.12257,4.1880354509912685,-1.121239853669,29.03582698299025,92.18879145684632,81.7924437747183,29.357725871299362,78.5978047835278,87.11059859105842,1.0000000095910961
"=""20190303162925519""","=""1551601765506686""",TestNight_on,5.066343,0.5366265,mcp_road_part_02,-336.105,-3.147089e-06,12.7177,-365.648,1.121241,17.93158,0.999412,-0.01216117,-0.03205923,0.9791345,0.1867276,-0.08017951,3.04126,-0.11475430000000005,-0.5341796999999999,0.04879979,0.198633,0.9788583,0.1412094,-0.002696608,0.9899761,32,29.54300000000001,-1.121244147089,-5.2138800000000005,4.258055504612433,-1.121244147089,29.65355356223534,92.14344117684736,81.82855942138416,29.978683493210678,78.54296837445365,87.14595151767595,1.0000000298359666
"=""20190303162925539""","=""1551601765527183""",TestNight_on,5.07158,0.5365075,mcp_road_part_02,-335.2055,-3.481392e-06,12.61168,-365.3635,1.121251,17.92233,0.9994087,-0.01217942,-0.03215637,0.9789418,0.1885105,-0.07833828,3.041809,-0.1120343,-0.5315552,0.04687067,0.2004314,0.9785859,0.14025929999999998,-0.002638531,0.9901113,32,30.15800000000001,-1.121254481392,-5.310649999999999,4.332251136150692,-1.121254481392,30.272598038569843,92.09981195645712,81.85581221985043,30.601565377012058,78.43781256381202,87.25783823576066,0.9999999847455093
"=""20190303162925553""","=""1551601765546702""",TestNight_on,5.046651,0.5362858,mcp_road_part_02,-333.4631,-4.126e-06,12.41757,-365.1675,1.121256,17.91595,0.9994064,-0.01219109,-0.03222378,0.9789121,0.1890784,-0.07733547,3.043121,-0.1069614,-0.525116,0.04580311,0.2010102,0.9785178,0.13809620000000006,-0.002523904,0.9904156,32,31.70440000000001,-1.121260126,-5.498379999999999,4.46838700053958,-1.121260126,31.826479594289665,91.99813851229143,82.00800266282336,32.15817951971916,78.40396165941752,87.32001734577187,1.0000000551532744
"=""20190303162925572""","=""1551601765567198""",TestNight_on,5.288348,0.5362858,mcp_road_part_02,-333.4894,-4.094841e-06,12.50096,-364.9058,1.121263,17.90744,0.9994034,-0.01220572,-0.03231397,0.9788905,0.1904205,-0.07425661,3.044342,-0.1077557,-0.5203857,0.04263781,0.202366,0.9783813,0.1364453,-0.002493302,0.9906445,32,31.41640000000001,-1.121267094841,-5.40648,4.382969579114762,-1.121267094841,31.535693609086696,92.01695084401837,82.0874683270291,31.85855667847509,78.32464921710124,87.50463162980095,0.9999999744936428
"=""20190303162925584""","=""1551601765576958""",TestNight_on,5.019196,0.4968078,mcp_road_part_02,-331.8651,-4.759193e-06,12.36062,-364.7243,1.121264,17.90152,0.9994012,-0.01221527,-0.03237636,0.9789735,0.1907053,-0.07240558,3.046021,-0.1033695,-0.5113525,0.04072391,0.20266070000000005,0.9784018,0.1334454,-0.002372073,0.9910533,32,32.85920000000005,-1.121268759193,-5.540900000000002,4.468994317291841,-1.121268759193,32.984033470045425,91.92936446942801,82.2840027120421,33.304288279310306,78.30740646213765,87.61655987447736,0.9999999392067072
"=""20190303162925595""","=""1551601765586720""",TestNight_on,5.02265,0.480817,mcp_road_part_02,-332.9739,-3.651924e-06,15.92124,-364.5585,1.121269,17.896060000000006,0.9993992,-0.01222321,-0.03243291,0.9790376,0.1911473,-0.07034368,3.071442,-0.1084681,-0.1915588,0.038605400000000005,0.2031112,0.9783943000000002,0.02982524,3.882108e-05,0.9995551,32,31.584599999999966,-1.1212726519240002,-1.974820000000004,0.948133656686356,-1.1212726519240002,31.59237465177987,92.03176747681907,88.2809853116103,31.626481719111872,78.2810468689981,87.7404001418869,0.9999999713735447
"=""20190303162925607""","=""1551601765597453""",TestNight_on,5.132418,0.4686672000000001,mcp_road_part_02,-335.1978,-2.44561e-06,17.34349,-364.4023,1.12127,17.89096,0.9993974,-0.01223047,-0.03248612,0.9790035,0.1920846,-0.06823517,3.083038,-0.1177396,-0.05801392,0.03644708,0.2040548,0.9782808,-0.01365487,0.001186694,0.9999061,32,29.204500000000053,-1.12127244561,-0.5474700000000006,-0.4010398582849961,-1.12127244561,29.16389469749659,92.20157451757281,90.7878386392078,29.188196908885736,78.22582690531735,87.86636058538666,1.0000000373461024
