SystemTime,Timestamp,NowSsceneName,PupilRadiusH,GazePointX,Hitname,HitPointX,HitPointY,HitPointZ,CameraPosX,CameraPosY,CameraPosZ,CarDirX,CarDirY,CarDirZ,CameraDirX,CameraDirY,CameraDirZ,EyeDirX,EyeDirY,EyeDirZ,HeadLocalDirX,HeadLocalDirY,HeadLocalDirZ,EyeLocalDirX,EyeLocalDirY,EyeLocalDirZ,speed,VecX,VecY,VecZ,LocalVecX,LocalVecY,LocalVecZ,Theta,Phi,r
"=""20200111160053707""","=""1578729653698623""",Testhuanghun_on,4.386557,0.5316135000000001,mcp_road_part_02,-452.5138,-3.677709e-06,366.8886,-477.096,1.103645,367.5232,0.9999674000000001,0,-9.163202e-05,0.9984122999999999,0.020840400000000002,0.05233092,3.011719,-0.13518229999999998,-0.07769775,-0.05241976,0.02890453,0.9982066999999999,0.02567255,-0.000571666,0.9996703000000001,1,24.5822,-1.103648677709,-0.6345999999999776,0.6310762108077173,-1.103648677709,24.53284078331293,92.57495399596237,88.52646370881378,24.565760205762786
"=""20200111160053728""","=""1578729653719119""",Testhuanghun_on,4.41265,0.5316841999999999,mcp_road_part_02,-452.1666,-3.832171e-06,366.8575,-477.0838,1.103493,367.5231,0.9999756,0,-0.000137682,0.9984325000000001,0.02183976,0.05153732,3.011749,-0.1333328,-0.08041382,-0.05167254,0.02884781,0.9982473,0.02652706,-0.0005807049,0.9996478999999999,1,24.91719999999998,-1.103496832171,-0.6655999999999835,0.6608740130769499,-1.103496832171,24.86855153199059,92.53983403739653,88.47774078042971,24.901793409693273
"=""20200111160053750""","=""1578729653738638""",Testhuanghun_on,4.427654,0.5317488,mcp_road_part_02,-451.5735,-4.093531e-06,366.8184,-477.0687,1.103358,367.523,0.9999824,0,-0.0001930783,0.9984527,0.02336526,0.05046104,3.011841,-0.1302828,-0.08319092,-0.05065082,0.02930776,0.9982863000000001,0.02739233,-0.0005837171,0.9996245999999999,1,25.495199999999947,-1.103362093531,-0.7046000000000276,0.6983703367931431,-1.103362093531,25.44771041451272,92.48174284136454,88.42800662779472,25.481190992134824
"=""20200111160053772""","=""1578729653768894""",Testhuanghun_on,4.587891,0.5319064,mcp_road_part_02,-450.6418,-4.503514e-06,366.7607,-477.0499,1.103248,367.5229,0.9999880999999999,0,-0.0002598454,0.9984583,0.02546461,0.04932151,3.011963,-0.12575319999999998,-0.08688354,-0.04957776,0.03032584,0.9983098,0.02854979,-0.0005847695,0.9995921999999998,2,26.40809999999999,-1.103252503514,-0.7622000000000071,0.7540229521542863,-1.103252503514,26.362324719683727,92.39542807323367,88.36165596533277,26.396171717219396
"=""20200111160053794""","=""1578729653789390""",Testhuanghun_on,4.418749,0.5319834,mcp_road_part_02,-449.1238,-1.1035219999999999e-06,366.6741,-477.029,1.103157,367.5229,0.9999924000000001,0,-0.0003324383,0.9985069999999999,0.02641772,0.04781261,3.012146,-0.1189982,-0.09155273,-0.04814106,0.03031773,0.9983803,0.03002506,-0.0005795936,0.999549,2,27.90519999999998,-1.103158103522,-0.8487999999999829,0.8382143697711375,-1.103158103522,27.861977999394306,92.26634184545752,88.27680344758,27.89640441293088
"=""20200111160053817""","=""1578729653808910""",Testhuanghun_on,4.440151,0.5320868000000001,mcp_road_part_02,-448.5387,-1.3452440000000002e-06,366.6101,-477.004,1.103091,367.5228,0.9999954,0,-0.000415965,0.9985582000000001,0.02640267,0.04673876,3.012146,-0.1166319,-0.09649658,-0.04715068,0.02940881,0.9984546999999999,0.03158031,-0.0005949212000000001,0.999501,2,28.46530000000001,-1.103092345244,-0.9127000000000294,0.8995098643497408,-1.103092345244,28.423037264743318,92.2214112140614,88.18735335080618,28.458653834487425
"=""20200111160053860""","=""1578729653848926""",Testhuanghun_on,4.499886,0.5322479999999999,mcp_road_part_02,-448.5807,-1.337448e-06,366.5788,-476.9494,1.103007,367.5225,0.9999985,0,-0.0005916691,0.9985948,0.02619832,0.04606727,3.012115,-0.11689880000000001,-0.1000366,-0.04665527,0.02781635,0.9985236999999999,0.03257771,-0.0006088039,0.999469,2,28.368700000000054,-1.103008337448,-0.9436999999999784,0.9255173291843996,-1.103008337448,28.32647829834168,92.22873293745253,88.12862797713048,28.363049598121894
"=""20200111160053884""","=""1578729653879182""",Testhuanghun_on,4.424748999999999,0.5322799,mcp_road_part_02,-448.591,-1.341636e-06,366.5482,-476.9146,1.102982,367.5224,0.9999993,0,-0.0006996872,0.9985889000000001,0.02594277,0.04633868,3.0120240000000003,-0.11715360000000001,-0.10348510000000001,-0.0470345,0.02690069,0.998531,0.03361293,-0.0006260572,0.9994347,3,28.3236,-1.102983341636,-0.9741999999999962,0.9529386729607402,-1.102983341636,28.281436722261876,92.23215282292715,88.07015761966103,28.318974689095885
"=""20200111160053905""","=""1578729653898703""",Testhuanghun_on,4.413232,0.5323015,mcp_road_part_02,-448.6895,-1.301402e-06,366.5572,-476.8809,1.102954,367.5222,0.9999995999999999,0,-0.0008012769,0.9985417,0.02637178,0.04710863,3.012085,-0.11770689999999999,-0.10299680000000001,-0.04790547,0.02679487,0.9984924000000001,0.03334892,-0.0006198782,0.9994436,3,28.19139999999999,-1.102955301402,-0.964999999999975,0.9409719357779732,-1.102955301402,28.1491274879392,92.24259699337603,88.08542370314382,28.18643852836088
"=""20200111160053929""","=""1578729653918815""",Testhuanghun_on,4.429803,0.5323161999999999,mcp_road_part_02,-448.2908,-1.452084e-06,366.5664,-476.8401,1.1029229999999999,367.5221,0.9999995999999999,0,-0.0009201766000000001,0.9985083,0.02677328,0.04759046,3.012207,-0.1162055,-0.100708,-0.04850604,0.02664377,0.9984674000000001,0.0324715,-0.0005904630000000001,0.9994725,3,28.54930000000001,-1.1029244520839998,-0.9557000000000356,0.9280456842014978,-1.1029244520839998,28.507668600784275,92.2144219275545,88.13543753199687,28.54408660635529
