SystemTime,Timestamp,NowSsceneName,PupilRadiusH,GazePointX,Hitname,HitPointX,HitPointY,HitPointZ,CameraPosX,CameraPosY,CameraPosZ,CarDirX,CarDirY,CarDirZ,CameraDirX,CameraDirY,CameraDirZ,EyeDirX,EyeDirY,EyeDirZ,HeadLocalDirX,HeadLocalDirY,HeadLocalDirZ,EyeLocalDirX,EyeLocalDirY,EyeLocalDirZ,speed,VecX,VecY,VecZ,LocalVecX,LocalVecY,LocalVecZ,Theta,Phi,r,Theta_Head,Phi_Head,r_Head_value_is_1
"=""20190304155556854""","=""1551686156844548""",TestNight_on,4.441745,0.5176885,mcp_road_part_02,-451.8743,-3.820079e-06,367.6327,-476.5995,1.109513,367.2183,0.9999639,-0.008500967,-0.0001254372,0.9869238,0.1443942,0.07163774,3.05545,-0.13708710000000002,0.0512085,-0.0717544,0.1527819,0.9856516,-0.01686253,0.000454346,0.9998577,1,24.725199999999965,-1.109516820079,0.41440000000000055,-0.4166627830933349,-1.109516820079,24.67547353204801,92.57416734222784,90.96738773262594,24.703919314142343,81.21182403768685,94.16372738069538,1.0000000397347641
"=""20190304155556877""","=""1551686156874805""",TestNight_on,4.472928,0.5191859999999999,mcp_road_part_02,-452.4486,-3.57621e-06,367.6185,-476.5909,1.109567,367.2183,0.999966,-0.00824135,-0.0001292426,0.9869187,0.14430639999999995,0.07188456,3.05658,-0.1404217,0.05065918,-0.07200454,0.1524388,0.9856864,-0.01667993,0.000456567,0.9998608,1,24.142299999999977,-1.10957057621,0.4001999999999839,-0.4024704175355674,-1.10957057621,24.09137419742899,92.63662693284796,90.95709407080422,24.120270314014512,81.23171451383168,94.17804407072876,0.999999960335505
"=""20190304155556899""","=""1551686156895300""",TestNight_on,4.450981,0.5201220999999999,mcp_road_part_02,-451.639,-3.93681e-06,367.5435,-476.5858,1.109972,367.2183,0.9999567,-0.009321095,-0.0001281494,0.9870837,0.1429049,0.07241778,3.056732,-0.1359278,0.03985596,-0.07253756,0.15210279999999998,0.9856992,-0.01314998,0.00035805040000000003,0.9999135,1,24.9468,-1.1099759368100002,0.3251999999999953,-0.3277483229791645,-1.1099759368100002,24.897477178779106,92.5524415069737,90.75419332332028,24.92436228695409,81.25119282598165,94.20880721763625,0.9999999361296148
"=""20190304155556920""","=""1551686156914821""",TestNight_on,4.487185,0.5209463,mcp_road_part_02,-451.7777,-3.886552e-06,367.4914,-476.5832,1.110366,367.2183,0.9999436,-0.01062541,-0.0001258245,0.9873125,0.14119779999999998,0.07264467,3.056549,-0.1367576,0.03366089,-0.07276276,0.1516834,0.9857473,-0.01112402,0.0003121552,0.9999381,1,24.805499999999995,-1.110369886552,0.27309999999999945,-0.2756690139350727,-1.110369886552,24.755867356398483,92.56799569661291,90.63799090611187,24.782289709746383,81.27550538762917,94.22162144055794,1.0000000062678336
"=""20190304155556979""","=""1551686156974864""",TestNight_on,4.54406,0.5228437,mcp_road_part_02,-451.8516,-3.879217e-06,367.3542,-476.5603,1.109753,367.2183,0.9999622,-0.008703252,-0.0001348719,0.9873772,0.1411531,0.07184856,3.056305,-0.1372497,0.01681519,-0.07197532,0.14974400000000002,0.9861016,-0.005629731,0.0001557369,0.9999841,1,24.70869999999997,-1.109756879217,0.13589999999999236,-0.13895234335606754,-1.109756879217,24.65894014133839,92.57677346281768,90.32285647794079,24.68429048967792,81.38790905666353,94.17460234429889,1.0000000388738306
"=""20190304155557000""","=""1551686156994385""",TestNight_on,4.561578,0.5232802,mcp_road_part_02,-451.0415,-4.235935e-06,367.3023,-476.5471,1.109516,367.2183,0.9999707,-0.007654536,-0.0001439307,0.987338,0.1414154,0.07187130000000001,3.056549,-0.1329224,0.0100708,-0.07200637,0.1489727,0.9862161,-0.003434833,9.295959e-05,0.9999941,1,25.50560000000001,-1.109520235935,0.08400000000000317,-0.08750555697375975,-1.109520235935,25.45741406303926,92.4955498800227,90.19694377992347,25.481731164767428,81.432602184469,94.17591372230939,0.9999999892825384
"=""20190304155557034""","=""1551686157024640""",TestNight_on,4.586679,0.5237611,mcp_road_part_02,-450.673,-4.399139e-06,367.2735,-476.5229,1.109325,367.2183,0.9999793,-0.006436958,-0.0001607297,0.9873381,0.1418251,0.07105696,3.056732,-0.1310768,0.006530762,-0.07120793,0.1481814,0.9863933,-0.002294712,6.242191999999999e-05,0.9999974,1,25.84989999999999,-1.109329399139,0.05520000000001346,-0.05924582329084646,-1.109329399139,25.802372485339397,92.46181264679858,90.13155881943315,25.826276302548365,81.47844945913224,94.12903103410665,1.0000000194428673
"=""20190304155557056""","=""1551686157054897""",TestNight_on,4.579547,0.5241294,mcp_road_part_02,-449.9364,-6.433299e-07,367.231,-476.5019,1.109167,367.2183,0.9999855,-0.005418582,-0.00017724150000000005,0.987359,0.1418205,0.07077844,3.056671,-0.1275398,0.001464844,-0.07094546,0.14717270000000002,0.9865632,-0.000655711,2.188339e-05,0.9999998,2,26.565499999999986,-1.1091676433298998,0.01269999999999527,-0.017378282474379128,-1.1091676433298998,26.51926776488769,92.3949979899198,90.03754636467598,26.54245877177778,81.53688429039528,94.11315788298265,1.0000000047570707
"=""20190304155557077""","=""1551686157074418""",TestNight_on,4.5633870000000005,0.5243284,mcp_road_part_02,-449.7071,-7.405093999999998e-07,367.1966,-476.4804,1.109008,367.2182,0.9999903,-0.004433666,-0.0001944629,0.9873007,0.142347,0.07053351,3.056763,-0.1265346,-0.002471924,-0.07071733,0.146727,0.9866459,0.0006137595,-6.874614e-06,0.9999998,2,26.77329999999995,-1.1090087405094,-0.021600000000034925,0.01636545583049497,-1.1090087405094,26.72744483062377,92.3760250983478,89.96491728118221,26.750448134352965,81.56270076230142,94.09963443205802,0.9999999426390679
"=""20190304155557099""","=""1551686157094912""",TestNight_on,4.491065,0.5246824000000001,mcp_road_part_02,-449.4078,-8.618669e-07,367.1725,-476.4537,1.108863,367.2182,0.9999942,-0.003408487,-0.0002159111,0.9872748,0.14265250000000002,0.07027536,3.056976,-0.12522660000000002,-0.005157470999999999,-0.07048012,0.14602079999999998,0.9867677,0.001470017,-2.449755e-05,0.9999989,2,27.04590000000001,-1.1088638618668998,-0.04570000000001073,0.03979356456727407,-1.1088638618668998,27.000522963895225,92.35171253036238,89.91555712999586,27.023312212158018,81.6036041447112,94.08542688379252,1.0000000075555722
