SystemTime,Timestamp,NowSsceneName,PupilRadiusH,GazePointX,Hitname,HitPointX,HitPointY,HitPointZ,CameraPosX,CameraPosY,CameraPosZ,CarDirX,CarDirY,CarDirZ,CameraDirX,CameraDirY,CameraDirZ,EyeDirX,EyeDirY,EyeDirZ,HeadLocalDirX,HeadLocalDirY,HeadLocalDirZ,EyeLocalDirX,EyeLocalDirY,EyeLocalDirZ,speed,VecX,VecY,VecZ,LocalVecX,LocalVecY,LocalVecZ,Theta,Phi,r
"=""20190303154413897""","=""1551599053890405""",Testhuanghun_on,4.842457,0.5284755,mcp_road_part_02,-459.4091,-1.256953e-06,365.5957,-475.6483,1.120585,367.0645,0.999974,-0.007171896,0.0009202641,0.9997486999999999,-0.01827458,-0.01299944,2.992828,-0.2061701,-0.27008059999999995,0.01392157,-0.01110143,0.9998415,0.09055689,-0.0034915859999999996,0.9958851999999999,1,16.239199999999983,-1.1205862569529998,-1.4687999999999874,1.4767692523081513,-1.1205862569529998,16.16150972393888,93.94995060536769,84.77905665660352,16.26748159798577
"=""20190303154413918""","=""1551599053909927""",Testhuanghun_on,4.812304,0.5285470999999999,mcp_road_part_02,-459.0403,-1.387044e-06,365.5784,-475.6343,1.120564,367.0648,0.9999771000000001,-0.006707011,0.001073883,0.9997654,-0.01782609,-0.01231476,2.993561,-0.2019832,-0.2678528,0.01339009,-0.01111826,0.9998485,0.08996461,-0.003393329,0.9959392,1,16.593999999999994,-1.120565387044,-1.4864000000000033,1.4974454405332287,-1.120565387044,16.517671852105426,93.86521898047583,84.81988691977557,16.623221500294424
"=""20190303154413941""","=""1551599053930422""",Testhuanghun_on,4.86603,0.5286691,mcp_road_part_02,-458.9222,-1.4275069999999999e-06,365.5773,-475.6164,1.120363,367.0651,0.9999834999999999,-0.005595895,0.001317964,0.9997944,-0.01662297,-0.01162176,2.993835,-0.200739,-0.266449,0.0129411,-0.01102602,0.9998555,0.08974231,-0.003332005,0.9959594999999999,1,16.694200000000027,-1.120364427507,-1.4877999999999931,1.5030850274985668,-1.120364427507,16.617968940233098,93.84134521329352,84.83169563391618,16.723378030435878
"=""20190303154413964""","=""1551599053959701""",Testhuanghun_on,4.789717,0.5288674,mcp_road_part_02,-458.5731,-1.551989e-06,365.556,-475.5945,1.1202,367.0654,0.9999886,-0.00449573,0.0016414510000000002,0.9998013000000001,-0.016316499999999998,-0.01147691,2.994263,-0.1968315,-0.2651062,0.01312003,-0.01181914,0.9998440999999999,0.0896198,-0.003239031,0.9959708,2,17.02139999999997,-1.120201551989,-1.5094000000000278,1.5307598408984666,-1.120201551989,16.94607632993029,93.76667963573514,84.83841066617441,17.051908403091122
"=""20190303154413985""","=""1551599053980197""",Testhuanghun_on,4.821721,0.4977503,mcp_road_part_02,-458.1124,-1.72088e-06,365.5104,-475.5724,1.120127,367.0658,0.9999913,-0.0037059190000000002,0.001977446,0.9998026,-0.01641611,-0.01120193,2.994446,-0.1918741,-0.26632690000000003,0.01318176,-0.01270795,0.9998323,0.09036195,-0.003173376,0.9959039000000001,2,17.460000000000036,-1.1201287208800002,-1.55540000000002,1.5834576189924887,-1.1201287208800002,17.385897764863348,93.67117196666399,84.79602239343791,17.49375509925659
"=""20190303154414008""","=""1551599053999717""",Testhuanghun_on,4.868391,0.49255730000000003,mcp_road_part_02,-451.1673,-4.248372e-06,366.9281,-475.5455,1.120084,367.0662,0.9999928,-0.0029694359999999998,0.002390404,0.9998049000000001,-0.01635163,-0.01110046,2.998169,-0.1376073,-0.01690674,0.0134939,-0.01337916,0.9998195,0.008018102,-0.0002983766,0.9999678,2,24.3782,-1.120088248372,-0.13810000000000855,0.19595993480901494,-1.120088248372,24.326447217599224,92.636182595978,89.53846797796224,24.353008689088757
"=""20190303154414031""","=""1551599054020214""",Testhuanghun_on,4.864921,0.4907364000000001,mcp_road_part_02,-449.0557,-9.673399000000001e-07,367.2843,-475.5153,1.120041,367.0668,0.9999934000000001,-0.0022453020000000002,0.002852571,0.9998024999999999,-0.01669803,-0.01076287,2.9988099999999998,-0.12680070000000002,0.02468872,0.01361943,-0.014449000000000004,0.9998028,-0.0053772709999999994,5.513735e-06,0.9999855,3,26.459600000000023,-1.1200419673398998,0.21749999999997272,-0.14176702806559338,-1.1200419673398998,26.4127881825275,92.42815449946697,90.30752430704295,26.43690548218368
"=""20190303154414056""","=""1551599054050470""",Testhuanghun_on,4.894097,0.4899652,mcp_road_part_02,-449.2247,-8.657686e-07,367.4221,-475.4814,1.119966,367.0674,0.9999931999999999,-0.001503813,0.003373283,0.9998099,-0.01658702,-0.01026474,2.998901,-0.1277603,0.04052734,0.01364233,-0.0150789,0.9997931999999999,-0.01013311,8.47958e-05,0.9999486999999999,3,26.256700000000023,-1.1199668657686002,0.3546999999999798,-0.2656433783528025,-1.1199668657686002,26.210069011570038,92.44665790167889,90.58068230615733,26.23533132583132
"=""20190303154414077""","=""1551599054069989""",Testhuanghun_on,4.899279,0.4896867999999999,mcp_road_part_02,-448.9056,-9.686771e-07,367.4958,-475.4467,1.119908,367.0681,0.9999921,-0.0008507247999999999,0.003907024,0.9998051,-0.01723446,-0.009641118,2.9989619999999997,-0.1263837,0.04833984,0.01355322,-0.01637902,0.9997739999999999,-0.0122024,0.00010093790000000001,0.9999256,3,26.541100000000032,-1.1199089686771,0.4276999999999589,-0.32342430474364303,-1.1199089686771,26.49540719617229,92.4201595965302,90.69936374993608,26.521036968225825
"=""20190303154414098""","=""1551599054090486""",Testhuanghun_on,4.9090110000000005,0.4896819000000001,mcp_road_part_02,-449.3045,-8.078291999999999e-07,367.5247,-475.4112,1.119867,367.0689,0.9999901,-0.0003045365,0.004447459,0.9998071,-0.01734605,-0.009245351,2.998901,-0.1284705,0.05236816,0.0136981,-0.01703637,0.999761,-0.01300485,9.132331e-05,0.9999154,3,26.10669999999999,-1.1198678078292,0.4558000000000106,-0.3390633098649397,-1.1198678078292,26.06053089604677,92.46038074224322,90.74541077706634,26.0867847466666
"=""20190303154414118""","=""1551599054110006""",Testhuanghun_on,4.931005,0.48974589999999996,mcp_road_part_02,-449.7979,-6.186865e-07,367.5235,-475.3737,1.1198290000000002,367.0696,0.9999875,0.00016646990000000002,0.005009334,0.9998087,-0.01771966,-0.008292519,2.99884,-0.1311157,0.05322266,0.01330766,-0.01788084,0.9997516,-0.0127289,5.732513000000001e-05,0.999919,4,25.575799999999962,-1.1198296186865002,0.4539000000000328,-0.325153430146371,-1.1198296186865002,25.528826861873192,92.51148290687118,90.72972064224035,25.555444509370634
"=""20190303154414143""","=""1551599054140262""",Testhuanghun_on,4.946505,0.4897634,mcp_road_part_02,-450.3879,-4.474975e-06,367.5354,-475.3285,1.119792,367.0706,0.9999838,0.0006420398,0.005674444,0.9998094999999999,-0.01790708,-0.007779928,2.998627,-0.1343944,0.0559082,0.01346069,-0.01854348,0.9997374,-0.01296064,2.829739e-05,0.999916,4,24.94060000000001,-1.1197964749749998,0.4647999999999684,-0.3226183309830956,-1.1197964749749998,24.89267275664062,92.57549718597149,90.74253311725175,24.91993546745358
"=""20190303154414165""","=""1551599054159782""",Testhuanghun_on,4.954193,0.4897794,mcp_road_part_02,-451.1167,-4.1632709999999994e-06,367.5301,-475.2823,1.119759,367.0716,0.9999794,0.0010535289999999999,0.006335375,0.9998168,-0.01802755,-0.00646456,2.998535,-0.1386819,0.05691528,0.01280636,-0.01907551,0.9997360000000001,-0.01263688,-1.410797e-05,0.9999200999999999,4,24.165600000000037,-1.119763163271,0.4585000000000151,-0.3047385030659504,-1.119763163271,24.11625782874273,92.65822941933698,90.72396393244637,24.14416340980703
"=""20190303154414187""","=""1551599054179763""",Testhuanghun_on,4.947936,0.48979989999999995,mcp_road_part_02,-451.6259,-3.941042e-06,367.5514,-475.2322,1.119718,367.0727,0.9999742,0.0014467739999999998,0.007034684,0.9998125,-0.01871784,-0.004974457,2.998413,-0.14192770000000002,0.06082153,0.01201598,-0.02015926,0.9997246,-0.01324065,-3.934759e-05,0.9999123,5,23.606299999999976,-1.119721941042,0.4787000000000034,-0.3119236082687297,-1.119721941042,23.556106139692194,92.72122546489622,90.75865092959071,23.58476648235234
"=""20190303154414210""","=""1551599054200259""",Testhuanghun_on,4.93898,0.4898840999999999,mcp_road_part_02,-452.1497,-3.712456e-06,367.5733,-475.1803,1.119679,367.0738,0.9999686,0.001803529,0.007738131999999998,0.9998051,-0.01935567,-0.0039516690000000005,2.998169,-0.1454396,0.06503296,0.01169691,-0.02115388,0.9997078000000001,-0.01394282,-6.368416e-05,0.9999028,5,23.0306,-1.119682712456,0.4995000000000118,-0.3205137423549626,-1.119682712456,22.979486210163017,92.78927783964885,90.79909941518743,23.00898096219569
