SystemTime,Timestamp,NowSsceneName,PupilRadiusH,GazePointX,Hitname,HitPointX,HitPointY,HitPointZ,CameraPosX,CameraPosY,CameraPosZ,CarDirX,CarDirY,CarDirZ,CameraDirX,CameraDirY,CameraDirZ,EyeDirX,EyeDirY,EyeDirZ,HeadLocalDirX,HeadLocalDirY,HeadLocalDirZ,EyeLocalDirX,EyeLocalDirY,EyeLocalDirZ,speed,VecX,VecY,VecZ,LocalVecX,LocalVecY,LocalVecZ,Theta,Phi,r
"=""20190304164419694""","=""1551689059682661""",Testhuanghun_off,5.154012000000002,0.477555,mcp_road_part_02,-489.3977,-3.488352e-06,267.5152,-487.4247,1.121034,274.0216,-0.5433462,-0.01515361,-0.8393721,-0.315652,0.3425974,-0.8848678,-1.002869,-0.5483454000000001,-3.246338,-0.22464650000000005,0.3509449,0.9090499,-0.2729489,0.1081662,0.9559283000000002,28,-1.9730000000000127,-1.121037488352,-6.506399999999987,-1.8296210236518968,-1.121037488352,6.3611250341600885,99.61274112566872,106.04657853493107,6.713281599985045
"=""20190304164419718""","=""1551689059712917""",Testhuanghun_off,5.18621,0.47866400000000003,mcp_road_part_02,-489.4334,-3.4196929999999997e-06,267.3699,-487.5721,1.120965,273.7647,-0.530926,-0.015135,-0.8472831000000001,-0.30277009999999993,0.34176799999999996,-0.8896772,-0.9820861999999999,-0.5481095,-3.2522279999999997,-0.2245459,0.3501433,0.9093838,-0.2649164,0.1099777,0.9579793,28,-1.8613000000000284,-1.120968419693,-6.394800000000032,-1.7682351538045298,-1.120968419693,6.230650187004629,99.81930853477732,105.84374310561721,6.5729922797703
"=""20190304164419736""","=""1551689059722677""",Testhuanghun_off,5.1441349999999995,0.47866400000000003,mcp_road_part_02,-489.4807,-3.318741e-06,267.1541,-487.6721,1.1209120000000001,273.586,-0.5223089,-0.01512108,-0.8526222999999999,-0.2933832,0.34094800000000003,-0.8931299000000001,-0.9423828000000002,-0.553465,-3.2638849999999997,-0.225003,0.34933020000000004,0.9095834,-0.2668585,0.112061,0.9571984,28,-1.8086000000000129,-1.120915318741,-6.4318999999999855,-1.767836066302952,-1.120915318741,6.253356814839733,99.78664290452244,105.78570024931392,6.5944042159100515
"=""20190304164419750""","=""1551689059742197""",Testhuanghun_off,5.2157089999999995,0.4849023,mcp_road_part_02,-489.4993,-3.2452530000000007e-06,266.9905,-487.7549,1.120855,273.4342,-0.5150228,-0.01510831,-0.8570434000000001,-0.28551750000000004,0.3406508,-0.8957886,-0.9068908999999999,-0.5563295,-3.273468,-0.2252586000000001,0.349042,0.9096308000000001,-0.2690297,0.1134413,0.9564278,28,-1.7443999999999846,-1.120858245253,-6.443699999999978,-1.773827434181231,-1.120858245253,6.2455972766262375,99.79477481260408,105.85520694617298,6.588647229439946
"=""20190304164419765""","=""1551689059752464""",Testhuanghun_off,5.095631,0.44876940000000004,mcp_road_part_02,-489.5485,-3.284464e-06,267.1023,-487.8414,1.1207989999999999,273.2724,-0.5072903,-0.01509428,-0.861643,-0.2772232,0.3410169,-0.8982509,-0.9273070999999999,-0.5795143,-3.273773,-0.2253757,0.3494196,0.9094568000000001,-0.2550736,0.11999839999999999,0.9594466,28,-1.7070999999999683,-1.120802284464,-6.170099999999992,-1.6099637014305368,-1.120802284464,5.999242417456451,100.22836306818895,105.02202098573416,6.311821485450326
"=""20190304164419780""","=""1551689059771984""",Testhuanghun_off,5.084141000000002,0.440601,mcp_road_part_02,-489.5543,-1.8864629999999999e-06,263.8459,-487.9276,1.120751,273.1082,-0.49945829999999997,-0.01507982,-0.8662066999999999,-0.2694486,0.3420034,-0.9002393,-0.6003418,-0.39281,-3.3037410000000005,-0.22477779999999997,0.3504345,0.9092143,-0.3367194000000001,0.07635583,0.9385040000000001,28,-1.626700000000028,-1.120752886463,-9.262300000000039,-3.172381699853537,-1.120752886463,8.712789465993964,96.89192288188015,110.00688468972493,9.339849729027558
"=""20190304164419791""","=""1551689059782721""",Testhuanghun_off,5.0764580000000015,0.43930969999999997,mcp_road_part_02,-489.5711,-1.20666e-06,262.2682,-487.9922,1.120706,272.9827,-0.4934959,-0.01506873,-0.8696176,-0.2633426,0.3424889,-0.9018603999999999,-0.5021973,-0.3424596,-3.312286,-0.2245735,0.3509368,0.909071,-0.3575355,0.06477934,0.9316502000000001,28,-1.5788999999999758,-1.12070720666,-10.714500000000044,-3.873489476510312,-1.12070720666,9.990862048164539,95.9707323186564,111.19147279117307,10.773914322712537
"=""20190304164419804""","=""1551689059792480""",Testhuanghun_off,5.081468,0.439072,mcp_road_part_02,-489.5778,-9.926919e-07,261.7722,-488.0576,1.120658,272.853,-0.48737179999999997,-0.0150565,-0.8730648000000001,-0.2571717,0.34294559999999996,-0.9034662,-0.4689026,-0.331439,-3.3153989999999998,-0.22428240000000002,0.3514123,0.9089591999999999,-0.3602479,0.06263342,0.9307516,28,-1.5202000000000453,-1.1206589926919,-11.080800000000007,-4.033207010703775,-1.1206589926919,10.312805114638023,95.7788053547883,111.35983641091141,11.129985835642175
"=""20190304164419818""","=""1551689059812001""",Testhuanghun_off,5.074273000000002,0.44009570000000003,mcp_road_part_02,-489.5813,-8.502785e-07,261.4417,-488.1312,1.120598,272.7049,-0.48038859999999994,-0.015042600000000001,-0.8769268,-0.2499611,0.3432948,-0.9053551999999999,-0.4430542000000001,-0.32585879999999995,-3.318115,-0.2241714,0.3517788,0.9088448,-0.3600252,0.06184458,0.9308905000000001,28,-1.4501000000000204,-1.1205988502785,-11.263199999999983,-4.099630306185469,-1.1205988502785,10.472832663172,95.69008134264918,111.37804859549898,11.302341988342159
"=""20190304164419831""","=""1551689059822736""",Testhuanghun_off,5.075328,0.4408295,mcp_road_part_02,-489.6008,-7.440751e-07,261.2022,-488.2055,1.120539,272.5524,-0.4732372,-0.01502782,-0.880807,-0.2428775,0.3433617,-0.9072561,-0.4240417,-0.32335349999999996,-3.319153,-0.2238176,0.35187209999999997,0.9088959000000001,-0.35772059999999994,0.06183809,0.9317790000000001,28,-1.3953000000000202,-1.1205397440751002,-11.350199999999974,-4.103415722869125,-1.1205397440751002,10.55747943977356,95.64974051603703,111.23980030588842,11.38217914258877
